"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"1","PT",1,0.634383223745808,0.3125,0.28001921799477,"Público","2017-2018"
"2","PT",0,0.408915884993988,0.6875,0.05455187924295,"Público","2017-2018"
"3","PT",0,0.282558481396827,0.6875,0.0718055243542116,"Público","2017-2018"
"4","PT",1,0.424730726933402,0.3125,0.070366721182364,"Público","2017-2018"
"5","PSDB",0.222222222222222,0.328055417637833,0.465277777777778,0.0263085881132055,"Público","2017-2018"
"6","PSDB",0.222222222222222,0.631177603912379,0.465277777777778,0.276813598161341,"Público","2017-2018"
"7","PSDB",0.888888888888889,0.627393873295782,0.201388888888889,0.273029867544743,"Público","2017-2018"
"8","PT",0.555555555555556,0.565567598086149,0.131944444444444,0.211203592335111,"Público","2017-2018"
"9","PT",0,0.334987122547472,0.6875,0.0193768832035665,"Público","2017-2018"
"10","PT",0.111111111111111,0.371848863103558,0.576388888888889,0.0174848573525196,"Público","2017-2018"
"11","PT",0,0.122001530410964,0.6875,0.232362475340074,"Público","2017-2018"
"12","PSDB",0.444444444444444,0.333153568894814,0.243055555555556,0.0212104368562245,"Público","2017-2018"
"13","PT",1,1,0.3125,0.645635994248962,"Público","2017-2018"
"14","PT",0.111111111111111,0.47534338734797,0.576388888888889,0.120979381596931,"Público","2017-2018"
"15","PT",0.555555555555556,0.494014560802137,0.131944444444444,0.139650555051099,"Público","2017-2018"
"16","PT",0.777777777777778,0.589002620008499,0.0902777777777778,0.23463861425746,"Público","2017-2018"
"17","PT",0.333333333333333,0.191270378749823,0.354166666666667,0.163093627001216,"Público","2017-2018"
"18","PSDB",1,0.908422841961412,0.3125,0.554058836210373,"Público","2017-2018"
"19","PSDB",0.444444444444444,0.367379244800367,0.243055555555556,0.0130152390493291,"Público","2017-2018"
"20","PT",1,0.881331564913138,0.3125,0.526967559162099,"Público","2017-2018"
"21","PT",0.111111111111111,0.878755733189696,0.576388888888889,0.524391727438658,"Público","2017-2018"
"22","PT",0.444444444444444,0.615550470390729,0.243055555555556,0.261186464639691,"Público","2017-2018"
"23","PT",0,0.380659369063069,0.6875,0.0262953633120308,"Público","2017-2018"
"24","PT",0,0.182647581208075,0.6875,0.171716424542963,"Público","2017-2018"
"25","PT",0,0.358581136984029,0.6875,0.00421713123299067,"Público","2017-2018"
"26","PT",0,0.15242590278334,0.6875,0.201938102967698,"Público","2017-2018"
"27","PMDB",0.555555555555556,0.633363033270416,0.131944444444444,0.278999027519378,"Público","2017-2018"
"28","PT",0.555555555555556,0.634877560471737,0.131944444444444,0.280513554720698,"Público","2017-2018"
"29","PSDB",0.333333333333333,0.454866043914194,0.354166666666667,0.100502038163155,"Público","2017-2018"
"30","PT",1,1,0.3125,0.645635994248962,"Público","2017-2018"
"31","PT",0.333333333333333,0.650140420144835,0.354166666666667,0.295776414393796,"Público","2017-2018"
"32","PSDB",0,0.470784820214132,0.6875,0.116420814463093,"Público","2017-2018"
"33","PT",1,0.984737140326902,0.3125,0.630373134575864,"Público","2017-2018"
"34","PSDB",1,1,0.3125,0.645635994248962,"Público","2017-2018"
"35","PT",0,0.657904607112101,0.6875,0.303540601361063,"Público","2017-2018"
"36","PT",0.666666666666667,0.67905026531589,0.0208333333333334,0.324686259564852,"Público","2017-2018"
"37","PT",0.555555555555556,0.556086189969921,0.131944444444444,0.201722184218883,"Público","2017-2018"
"38","PT",0,0.350133649716873,0.6875,0.00423035603416538,"Público","2017-2018"
"39","PT",1,0.434388700480418,0.3125,0.0800246947293795,"Público","2017-2018"
"40","PT",1,0.350133649716873,0.3125,0.00423035603416538,"Público","2017-2018"
"41","PT",1,0.0912731171171275,0.3125,0.263090888633911,"Público","2017-2018"
