"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"1","PSDB",1,0.526101056859189,0.544117647058824,0.117676899955624,"Público","2014-2014"
"2","PT",0,0.55767711232685,0.455882352941176,0.149252955423286,"Público","2014-2014"
"3","PSDB",1,0.593250751853231,0.544117647058824,0.184826594949666,"Público","2014-2014"
"4","PSB",0,0.45244930488556,0.455882352941176,0.0440251479819956,"Público","2014-2014"
"5","PSB",0.5,0.516204323382779,0.0441176470588235,0.107780166479214,"Público","2014-2014"
"6","PT",1,1,0.544117647058824,0.591575843096435,"Público","2014-2014"
"7","PSDB",0.75,0.577895560324284,0.294117647058824,0.169471403420719,"Público","2014-2014"
"8","PMDB",1,0.97945812655975,0.544117647058824,0.571033969656185,"Público","2014-2014"
"9","PMDB",0.5,0.50239574321177,0.0441176470588235,0.0939715863082048,"Público","2014-2014"
"10","PT",1,0.570884337489617,0.544117647058824,0.162460180586052,"Público","2014-2014"
"11","PT",1,0.263852789430018,0.544117647058824,0.144571367473546,"Público","2014-2014"
"12","PT",0.25,0.243310915989769,0.205882352941176,0.165113240913796,"Público","2014-2014"
"13","PT",1,0.536121317599264,0.544117647058824,0.1276971606957,"Público","2014-2014"
"14","PT",0.5,0.569250137849056,0.0441176470588235,0.160825980945491,"Público","2014-2014"
"15","PT",0.25,0.346020283191018,0.205882352941176,0.0624038737125467,"Público","2014-2014"
"16","PT",0,0.123251240641499,0.455882352941176,0.285172916262065,"Público","2014-2014"
"17","PT",0,0.208210503337427,0.455882352941176,0.200213653566138,"Público","2014-2014"
"18","PT",0.75,0.589792011289305,0.294117647058824,0.181367854385741,"Público","2014-2014"
"19","PMDB",0.5,0.366562156631268,0.0441176470588235,0.0418620002722968,"Público","2014-2014"
"20","PT",0.5,0.515242051397025,0.0441176470588235,0.106817894493461,"Público","2014-2014"
"21","PSDB",0.5,0.496051492006101,0.0441176470588235,0.087627335102536,"Público","2014-2014"
"22","PSDB",0,0.584174194909198,0.455882352941176,0.175750038005633,"Público","2014-2014"
"23","PT",0,0.774770427853351,0.455882352941176,0.366346270949786,"Público","2014-2014"
"24","PT",0.5,0.694135578131117,0.0441176470588235,0.285711421227552,"Público","2014-2014"
"25","PT",0.25,0.774770427853351,0.205882352941176,0.366346270949786,"Público","2014-2014"
"26","PDT",0.5,0.788343170864168,0.0441176470588235,0.379919013960603,"Público","2014-2014"
"27","PT",0.75,0.434532028157686,0.294117647058824,0.0261078712541217,"Público","2014-2014"
"28","PSDB",0.75,0.604716068349447,0.294117647058824,0.196291911445883,"Público","2014-2014"
"29","PSB",0,0.740655811402284,0.455882352941176,0.33223165449872,"Público","2014-2014"
"30","PSDB",1,0.740809016305664,0.544117647058824,0.332384859402099,"Público","2014-2014"
"31","PSDB",1,0.836030530326051,0.544117647058824,0.427606373422486,"Público","2014-2014"
"32","PMDB",1,0.617404570760785,0.544117647058824,0.20898041385722,"Público","2014-2014"
"33","PMDB",0.75,0.686518044262397,0.294117647058824,0.278093887358832,"Público","2014-2014"
"34","PT",0.5,0.495403088566815,0.0441176470588235,0.0869789316632498,"Público","2014-2014"
"35","PSDB",1,0.707059917702647,0.544117647058824,0.298635760799082,"Público","2014-2014"
"36","PT",0.75,0.690431443510649,0.294117647058824,0.282007286607085,"Público","2014-2014"
"37","PMDB",0.75,0.384048298890337,0.294117647058824,0.024375858013228,"Público","2014-2014"
"38","PMDB",1,0.438445427405939,0.544117647058824,0.030021270502374,"Público","2014-2014"
"39","PT",0,0.604350550501397,0.455882352941176,0.195926393597833,"Público","2014-2014"
"40","PMDB",0,0.809403767055846,0.455882352941176,0.400979610152282,"Público","2014-2014"
"41","PSDB",0,0.801915913874984,0.455882352941176,0.39349175697142,"Público","2014-2014"
"42","PT",0,0.346020283191018,0.455882352941176,0.0624038737125467,"Público","2014-2014"
"43","PT",0.5,0.97945812655975,0.0441176470588235,0.571033969656185,"Público","2014-2014"
"44","PT",1,0.422830874501277,0.544117647058824,0.0144067175977125,"Público","2014-2014"
"45","PSDB",1,0.068229232902133,0.544117647058824,0.340194924001432,"Público","2014-2014"
"46","PT",0.5,0.725731754342143,0.0441176470588235,0.317307597438578,"Público","2014-2014"
"47","PSDB",0,0.842999660755484,0.455882352941176,0.434575503851919,"Público","2014-2014"
"48","PMDB",0,0.408573789070133,0.455882352941176,0.000149632166568214,"Público","2014-2014"
"49","PT",0.75,0.375143515039394,0.294117647058824,0.0332806418641707,"Público","2014-2014"
"50","PSDB",1,0.137809779853591,0.544117647058824,0.270614377049973,"Público","2014-2014"
"51","PT",1,0.346020283191018,0.544117647058824,0.0624038737125467,"Público","2014-2014"
"52","PT",0.25,0.774770427853351,0.205882352941176,0.366346270949786,"Público","2014-2014"
"53","PSDB",1,0.727601791142897,0.544117647058824,0.319177634239332,"Público","2014-2014"
"54","PT",0.75,0.863541534195734,0.294117647058824,0.455117377292169,"Público","2014-2014"
"55","PT",0.5,0.97945812655975,0.0441176470588235,0.571033969656185,"Público","2014-2014"
"56","PT",0.5,0.707059917702647,0.0441176470588235,0.298635760799082,"Público","2014-2014"
"57","PT",1,0.741174534153713,0.544117647058824,0.332750377250149,"Público","2014-2014"
"58","PT",0.75,0.503322076216482,0.294117647058824,0.0948979193129171,"Público","2014-2014"
"59","PMDB",0.5,0.481299208039049,0.0441176470588235,0.0728750511354847,"Público","2014-2014"
"60","PT",0.75,0.267664633076474,0.294117647058824,0.140759523827091,"Público","2014-2014"
"61","PSDB",0.5,1,0.0441176470588235,0.591575843096435,"Público","2014-2014"
"62","PSDB",0.5,0.876748759358501,0.0441176470588235,0.468324602454936,"Público","2014-2014"
"63","PMDB",1,0.822976510066663,0.544117647058824,0.414552353163098,"Público","2014-2014"
"64","PT",1,0.366562156631268,0.544117647058824,0.0418620002722968,"Público","2014-2014"
"65","PT",0,0.502501899684105,0.455882352941176,0.0940777427805402,"Público","2014-2014"
"66","PSDB",1,0.897290632798751,0.544117647058824,0.488866475895186,"Público","2014-2014"
"67","PT",0,0.9589162531195,0.455882352941176,0.550492096215935,"Público","2014-2014"
"68","PMDB",0,0.50276126105982,0.455882352941176,0.0943371041562548,"Público","2014-2014"
"69","PSDB",0,0.413235594805815,0.455882352941176,0.00481143790225019,"Público","2014-2014"
"70","PMDB",0.75,0.359463345513977,0.294117647058824,0.0489608113895874,"Público","2014-2014"
"71","PSDB",0,0.243310915989769,0.455882352941176,0.165113240913796,"Público","2014-2014"
"72","PMDB",0.25,0.589792011289305,0.205882352941176,0.181367854385741,"Público","2014-2014"
"73","PT",1,0.672426578500152,0.544117647058824,0.264002421596587,"Público","2014-2014"
"74","PMDB",0.5,0.97945812655975,0.0441176470588235,0.571033969656185,"Público","2014-2014"
"75","PT",1,0.570365614738188,0.544117647058824,0.161941457834623,"Público","2014-2014"
"76","PMDB",0,0.0674090563697562,0.455882352941176,0.341015100533809,"Público","2014-2014"
"77","PT",0.25,0.637946444201035,0.205882352941176,0.22952228729747,"Público","2014-2014"
"78","PSB",0.25,0.331952341644294,0.205882352941176,0.0764718152592705,"Público","2014-2014"
"79","PSB",0.25,1,0.205882352941176,0.591575843096435,"Público","2014-2014"
"80","PT",0.25,0.97945812655975,0.205882352941176,0.571033969656185,"Público","2014-2014"
"81","PT",0.5,0.604869273252826,0.0441176470588235,0.196445116349262,"Público","2014-2014"
"82","PT",0,0.9589162531195,0.455882352941176,0.550492096215935,"Público","2014-2014"
"83","PT",0,0.433777468246065,0.455882352941176,0.0253533113425001,"Público","2014-2014"
"84","PT",1,0.542104651827422,0.544117647058824,0.133680494923858,"Público","2014-2014"
"85","PT",0.25,0.686518044262397,0.205882352941176,0.278093887358832,"Público","2014-2014"
"86","PSDB",1,0.550059578458131,0.544117647058824,0.141635421554566,"Público","2014-2014"
"87","PSB",1,0.864060256947163,0.544117647058824,0.455636100043598,"Público","2014-2014"
"88","PSB",1,0.0768746553773612,0.544117647058824,0.331549501526204,"Público","2014-2014"
