"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"1","PSDB",1,0.108228677899326,0.413333333333333,0.309729854537689,"Público","2005-2006"
"2","PSDB",0.25,0.707547986923802,0.336666666666667,0.289589454486787,"Público","2005-2006"
"3","PT",0.25,0.458097591886828,0.336666666666667,0.0401390594498129,"Público","2005-2006"
"4","PFL",0.25,0.770450286200609,0.336666666666667,0.352491753763594,"Público","2005-2006"
"5","PFL",0.5,0.498720436603331,0.0866666666666667,0.080761904166316,"Público","2005-2006"
"6","PT",1,0.37456330586641,0.413333333333333,0.043395226570605,"Público","2005-2006"
"7","PSDB",0.25,0.608372107732863,0.336666666666667,0.190413575295848,"Público","2005-2006"
"8","PT",1,0.487326547850502,0.413333333333333,0.0693680154134874,"Público","2005-2006"
"9","PT",1,0.661946132283578,0.413333333333333,0.243987599846563,"Público","2005-2006"
"10","PSDB",1,0.603657190177478,0.413333333333333,0.185698657740463,"Público","2005-2006"
"11","PT",0.5,0.891861498835983,0.0866666666666667,0.473902966398969,"Público","2005-2006"
"12","PT",1,0.675533495076731,0.413333333333333,0.257574962639716,"Público","2005-2006"
"13","PMDB",0,0.953616280900289,0.586666666666667,0.535657748463274,"Público","2005-2006"
"14","PT",0.25,0.444336313460647,0.336666666666667,0.0263777810236325,"Público","2005-2006"
"15","PSDB",0.5,0.612996848552938,0.0866666666666667,0.195038316115924,"Público","2005-2006"
"16","PMDB",0.5,0.63797810009892,0.0866666666666667,0.220019567661905,"Público","2005-2006"
"17","PT",0.5,1,0.0866666666666667,0.582041467562985,"Público","2005-2006"
"18","PSDB",0,0.690994734776635,0.586666666666667,0.27303620233962,"Público","2005-2006"
"19","PMDB",1,0.706455974476538,0.413333333333333,0.288497442039524,"Público","2005-2006"
"20","PMDB",1,0.490359325619123,0.413333333333333,0.072400793182108,"Público","2005-2006"
"21","PT",1,0.907232561800578,0.413333333333333,0.489274029363563,"Público","2005-2006"
"22","PT",0,0.505820565319026,0.586666666666667,0.0878620328820116,"Público","2005-2006"
"23","PT",0.5,0.96738399716406,0.0866666666666667,0.549425464727045,"Público","2005-2006"
"24","PT",0,0.39899855118876,0.586666666666667,0.0189599812482552,"Público","2005-2006"
"25","PMDB",0,0.586603987426119,0.586666666666667,0.168645454989104,"Público","2005-2006"
