"","E179WVS","E036","F118","F120","F028","F121"
"1",5,5,10,10,8,10
"2",-1,5,4,5,7,4
"3",-1,5,1,-1,1,-1
"4",-1,4,5,5,7,4
"5",76002,1,1,1,7,8
"6",76002,10,10,5,4,5
"7",-1,5,8,1,6,10
"8",-1,2,4,6,1,5
"9",-1,-1,1,1,1,-1
"10",-1,5,5,1,2,5
"11",-1,6,1,1,2,1
"12",76002,10,7,8,7,7
"13",76002,1,8,1,2,10
"14",-1,6,10,1,8,5
"15",-2,1,10,1,7,10
"16",-1,5,5,5,7,5
"17",-1,10,7,5,7,5
"18",76003,8,1,10,4,10
"19",76003,8,5,1,2,7
"20",-1,10,10,1,2,5
"21",76003,2,3,7,7,2
"22",-1,10,1,1,8,10
"23",-1,1,4,4,2,4
"24",-1,-1,-1,1,2,10
"25",-1,10,-1,-1,1,1
"26",-1,7,10,7,2,8
"27",5,5,5,1,2,5
"28",-1,-1,1,1,1,10
"29",-1,7,-1,1,1,5
"30",-1,1,5,5,8,5
"31",-2,3,9,8,8,9
"32",76002,5,2,1,7,9
"33",76002,10,7,8,1,8
"34",-1,10,10,1,3,5
"35",-2,-1,4,-1,2,10
"36",-1,10,1,4,1,3
"37",-1,-1,-1,1,1,-1
"38",5,5,5,5,7,5
"39",5,8,-1,-1,1,-1
"40",-1,1,-1,-1,-1,-1
"41",-2,4,8,1,8,5
"42",76002,9,7,5,2,9
"43",-2,10,10,1,7,9
"44",76002,10,10,9,2,10
"45",-1,5,1,1,8,-1
"46",5,1,6,3,8,10
"47",-1,5,6,1,7,10
"48",-1,5,10,1,8,10
"49",-1,-1,-1,1,1,-1
"50",-1,10,5,1,2,5
"51",5,5,8,9,2,8
"52",-2,5,4,2,7,3
"53",-1,7,10,8,8,10
"54",5,7,10,10,8,10
"55",5,1,10,1,1,10
"56",76003,6,8,1,8,10
"57",-1,10,1,1,-1,7
"58",-1,8,5,1,1,4
"59",-1,1,10,10,2,10
"60",5,9,1,1,1,1
"61",76002,1,1,1,1,1
"62",76015,1,10,3,1,10
"63",76002,9,9,1,7,6
"64",76002,5,5,3,7,7
"65",-1,10,9,1,6,5
"66",76002,3,4,6,7,3
"67",76002,-1,1,1,1,1
"68",-1,1,1,1,2,1
"69",-1,5,1,1,2,5
"70",-1,6,6,7,3,7
"71",76002,7,10,5,8,9
"72",-1,5,5,5,2,10
"73",-1,5,1,1,7,1
"74",-1,1,10,8,7,10
"75",-2,7,1,1,2,10
"76",5,5,3,1,1,7
"77",76002,3,3,4,-1,3
"78",-2,5,5,1,3,1
"79",5,5,-1,5,7,5
"80",76003,1,1,1,7,1
"81",76003,6,10,1,7,8
"82",-2,6,10,8,2,10
"83",-1,4,8,1,6,8
"84",-1,6,6,7,3,6
"85",-1,10,1,1,7,10
"86",76002,1,5,1,1,1
"87",-2,1,-1,-1,8,-1
"88",-2,5,8,1,2,7
"89",-1,5,9,1,7,8
"90",-1,5,8,1,7,8
"91",-2,3,10,7,7,7
"92",76002,9,2,1,7,1
"93",-1,5,9,5,8,5
"94",-1,-1,5,4,7,6
"95",-2,4,10,5,6,5
"96",76002,6,10,1,1,4
"97",76002,10,10,1,1,10
"98",-1,10,1,1,1,5
"99",-1,5,10,5,3,8
"100",-1,10,5,-1,7,10
"101",76002,10,10,5,6,10
"102",76002,10,1,10,2,10
"103",-1,5,5,7,2,10
"104",5,1,5,2,1,5
"105",-1,1,1,1,7,1
"106",-1,1,1,6,7,7
"107",5,6,7,7,2,4
"108",5,10,1,1,8,1
"109",-1,5,1,1,1,1
"110",-1,6,10,10,7,10
