"","E179WVS","E036","F118","F120","F028","F121"
"111",-1,4,4,4,2,4
"112",-1,10,1,1,1,1
"113",76026,10,1,1,2,1
"114",76002,10,10,8,2,10
"115",5,1,-1,1,7,5
"116",76001,5,5,3,3,5
"117",-2,1,7,4,7,8
"118",-1,7,6,1,7,8
"119",-1,1,-1,1,2,5
"120",76002,5,7,1,3,5
"121",76003,7,5,3,7,8
"122",-1,6,10,5,7,2
"123",-2,5,10,1,7,10
"124",-1,5,-1,1,7,5
"125",-1,5,5,1,2,1
"126",-1,-1,6,6,8,9
"127",-2,5,10,1,8,1
"128",-1,10,-1,-1,2,-1
"129",-1,10,8,1,4,8
"130",-1,10,1,5,7,4
"131",-1,5,5,5,3,5
"132",76002,1,1,1,1,1
"133",-1,1,10,10,8,10
"134",5,1,7,7,1,10
"135",-1,10,5,1,7,10
"136",-1,10,5,5,1,10
"137",76002,7,7,1,2,5
"138",76002,1,-2,1,7,10
"139",5,1,1,1,1,1
"140",-2,2,5,5,7,5
"141",-1,5,10,1,1,10
"142",-1,1,1,1,7,5
"143",-1,6,5,1,7,10
"144",5,1,2,1,7,10
"145",76003,10,6,1,8,8
"146",76002,1,1,1,2,1
"147",5,5,3,5,7,9
"148",76003,1,1,1,1,1
"149",5,5,1,3,7,7
"150",-1,10,1,1,1,1
"151",5,10,5,1,2,10
"152",-2,2,-2,4,3,10
"153",-1,1,10,-1,8,-1
"154",76002,10,6,1,6,4
"155",76002,4,5,2,2,5
"156",76004,4,4,4,-1,3
"157",76015,3,3,3,3,3
"158",-2,5,10,7,7,7
"159",-1,5,1,1,3,6
"160",-1,5,8,6,2,7
"161",76002,5,1,1,7,10
"162",5,1,10,10,8,10
"163",-1,1,2,1,1,7
"164",5,5,10,7,1,7
"165",-1,10,1,1,1,10
"166",76002,10,10,1,3,10
"167",-1,6,1,6,-2,7
"168",-1,5,3,3,7,3
"169",-1,5,-1,1,6,9
"170",76002,1,1,5,7,10
"171",-1,5,5,-1,2,9
"172",5,10,1,1,-1,1
"173",-1,8,1,1,7,1
"174",-2,10,-1,5,2,10
"175",76002,1,10,1,3,10
"176",76002,1,10,7,8,10
"177",76001,6,7,6,2,7
"178",-2,5,10,10,7,10
"179",-1,10,7,5,6,5
"180",76028,3,6,1,1,2
"181",-1,5,1,1,7,9
"182",76015,8,10,5,8,10
"183",76002,5,2,8,8,9
"184",-1,1,-1,1,7,10
"185",-1,10,1,1,2,10
"186",5,1,3,2,3,4
"187",-1,1,8,3,3,6
"188",-1,9,10,7,8,10
"189",-1,-1,5,5,8,5
"190",76003,5,6,6,2,6
"191",76002,10,9,8,2,8
"192",-1,-1,10,1,8,10
"193",-1,10,-1,1,6,1
"194",76002,5,1,1,2,1
"195",-1,8,9,1,2,1
"196",76002,7,-1,-1,3,5
"197",-1,-1,-1,5,2,5
"198",-1,10,10,1,3,7
"199",-1,10,10,1,7,10
"200",76028,5,10,5,4,5
"201",-1,5,10,1,2,10
"202",-1,6,5,10,8,10
"203",-1,5,6,6,7,6
"204",76002,1,1,1,1,1
"205",76002,5,3,1,2,1
"206",76003,10,10,1,7,10
"207",-1,5,1,1,2,1
"208",-1,5,-1,5,2,10
"209",76003,2,-1,1,1,10
"210",-1,9,-1,-1,8,10
"211",-1,1,10,1,6,10
"212",-1,1,1,1,-1,1
"213",-1,5,1,1,8,5
"214",5,10,1,5,1,5
"215",-1,8,10,1,7,10
"216",-1,10,10,1,7,1
"217",76002,1,1,1,6,1
"218",5,7,10,1,7,10
"219",-2,10,10,-1,2,10
"220",76002,4,4,5,6,5
"221",-2,5,5,8,8,8
"222",76002,10,10,8,8,10
"223",-2,-2,1,-1,2,-1
"224",76002,10,5,1,1,1
"225",76015,10,5,1,7,10
"226",-1,10,10,10,8,10
"227",-1,-1,10,1,3,10
"228",5,1,10,1,1,10
"229",76002,5,10,10,8,10
"230",76002,9,2,6,1,6
"231",-1,5,-2,-1,2,10
"232",-2,5,-1,-1,2,-1
"233",-1,10,-1,-1,7,-1
"234",-2,-1,-1,-1,1,-1
"235",-1,5,1,1,1,1
"236",-1,3,10,10,8,10
"237",5,1,1,1,7,5
"238",76002,1,10,1,7,10
"239",-1,1,-2,5,7,10
"240",-1,5,2,5,7,10
"241",76002,5,3,4,2,5
"242",-1,10,10,1,3,10
"243",-1,5,-1,1,1,5
"244",-1,5,1,1,3,1
"245",-1,5,5,4,2,5
"246",-1,1,4,1,3,1
"247",76002,-1,-1,10,7,10
"248",76028,1,10,8,3,9
"249",5,5,7,1,6,5
"250",76028,1,7,1,8,6
"251",-1,4,1,1,2,1
"252",-1,-1,10,5,6,5
"253",76005,4,4,4,2,4
"254",76002,5,6,1,7,7
"255",5,5,2,1,1,3
"256",-1,-1,-1,1,7,10
"257",-1,-1,10,10,8,10
"258",-2,-1,1,5,1,3
"259",76004,1,10,10,8,9
"260",-1,5,1,1,2,5
"261",-1,7,2,1,7,1
"262",76001,5,5,4,-1,4
"263",-2,9,1,3,2,6
"264",-1,5,1,1,7,5
"265",-1,10,1,1,2,10
"266",76002,10,1,1,2,10
"267",-1,2,10,6,4,10
"268",76002,10,10,1,3,10
"269",-1,10,10,1,2,-1
"270",76001,7,3,1,3,5
"271",5,6,5,5,7,7
"272",76002,5,5,5,3,5
"273",-1,3,1,1,3,5
"274",-1,1,1,1,7,1
"275",-1,4,9,7,2,10
"276",76002,6,-1,6,8,8
"277",76002,2,10,5,7,5
"278",-2,10,8,7,2,7
"279",76028,2,1,1,7,10
"280",76029,10,10,10,7,5
"281",-1,6,10,3,4,1
"282",5,10,1,1,2,1
"283",-2,1,10,10,2,10
"284",76003,5,5,2,4,2
"285",-2,1,5,1,6,5
"286",-1,10,10,1,1,10
"287",76002,1,1,5,2,5
"288",76002,10,1,1,7,10
"289",76002,5,5,5,7,1
"290",-1,5,5,5,8,5
"291",76004,4,5,1,3,5
"292",76002,-1,9,2,3,9
"293",-1,5,-1,-1,7,-1
"294",76002,5,1,1,2,3
"295",-1,8,8,4,7,10
"296",-1,1,5,1,2,10
"297",-1,1,4,1,3,9
"298",-1,10,10,1,7,10
"299",-1,10,3,2,3,3
"300",76002,10,10,10,-2,10
"301",5,1,10,5,8,10
"302",-2,10,-2,8,8,10
"303",-1,7,9,7,3,3
"304",76029,4,5,1,1,6
"305",76003,5,5,1,1,6
"306",-1,-1,-1,-1,7,-1
"307",5,5,10,2,1,5
"308",-2,2,4,1,7,1
"309",-1,8,8,6,2,7
"310",-1,1,10,1,7,10
"311",-2,9,1,1,3,1
"312",5,10,8,1,7,10
"313",-1,1,8,3,2,10
"314",76002,8,1,1,7,10
"315",-2,4,1,1,1,1
"316",76002,10,6,1,3,8
"317",-1,10,-1,-1,1,-1
"318",76002,10,10,5,7,10
"319",5,4,3,3,2,3
"320",-2,-1,5,1,7,10
"321",76002,9,5,1,2,5
"322",76002,3,3,4,4,4
"323",76002,10,1,1,7,1
"324",5,1,1,1,7,5
"325",-1,5,1,1,2,1
"326",-1,5,5,5,2,5
"327",76002,1,1,1,1,1
"328",-2,7,2,3,8,3
"329",76003,5,4,2,2,5
"330",-1,-1,10,4,7,10
"331",-2,1,1,1,2,1
"332",-1,4,10,10,8,10
"333",76002,10,10,1,6,10
"334",76002,5,5,4,3,5
"335",-2,5,1,1,1,7
"336",-2,1,-1,-1,7,6
"337",-1,1,5,5,2,10
"338",76002,4,8,5,7,8
"339",76002,10,10,5,1,10
"340",-1,1,5,1,2,5
"341",-1,5,5,1,4,5
"342",5,1,-2,1,2,10
"343",76002,1,10,-1,1,-1
"344",76002,10,1,1,7,5
"345",-1,5,-1,1,3,10
"346",76003,5,10,10,2,8
"347",76002,8,10,10,8,10
"348",-1,10,-1,1,1,8
"349",-2,1,1,1,1,1
"350",-1,7,-1,5,1,10
"351",-1,5,5,2,3,5
"352",76003,8,1,5,2,5
"353",-1,5,5,3,3,3
"354",-1,1,1,1,2,7
"355",76002,6,7,8,4,8
"356",5,5,1,5,1,5
"357",76002,5,10,1,7,8
"358",76002,10,-1,5,7,10
"359",-1,4,7,1,6,5
"360",-2,10,-2,-1,7,10
"361",-2,-1,6,10,7,10
"362",-1,7,8,2,4,8
"363",-1,5,1,1,3,1
"364",5,1,8,8,7,8
"365",-1,1,10,6,7,10
"366",76005,4,3,3,3,3
"367",-1,2,10,1,1,7
"368",-1,10,-1,-1,1,-1
"369",-2,10,7,3,2,3
"370",76002,8,10,1,7,5
"371",5,5,5,5,1,5
"372",-1,5,6,2,1,4
"373",-1,1,4,1,1,8
"374",-1,7,7,4,3,2
"375",76002,10,10,1,2,10
"376",76002,3,7,8,2,7
"377",-1,1,1,1,2,8
"378",76028,-1,1,6,3,5
"379",-1,1,10,1,8,1
"380",5,3,10,7,7,9
"381",-1,5,4,1,1,5
"382",76002,10,1,1,1,1
"383",-1,10,-1,1,2,5
"384",-1,7,10,1,6,10
"385",76002,9,9,5,7,10
"386",76015,1,1,1,1,4
"387",76002,10,1,1,1,1
"388",5,6,7,6,2,8
"389",76002,2,9,1,2,9
"390",-1,10,10,1,7,5
"391",76002,3,1,5,6,10
"392",-1,5,10,10,8,10
"393",-1,5,8,1,7,-1
"394",-1,5,-2,2,7,10
"395",76005,5,9,1,3,8
"396",76002,1,-1,1,3,-1
"397",76004,6,7,5,2,4
"398",76002,10,6,1,7,6
"399",-2,5,-1,1,4,-1
"400",5,5,-1,1,2,8
"401",-1,1,1,1,8,10
"402",-1,4,5,6,3,9
"403",-1,1,6,1,3,8
"404",-2,7,1,1,7,1
"405",76003,1,1,1,1,1
"406",-1,5,10,1,6,10
"407",-2,3,-2,1,3,5
"408",-1,10,10,1,2,10
"409",76004,2,10,1,4,5
"410",-1,6,6,1,7,8
"411",76002,-1,8,8,1,6
"412",76002,9,1,3,7,7
"413",76002,8,1,1,7,7
"414",5,1,8,3,2,3
"415",76015,10,6,1,1,8
"416",-2,5,1,1,2,1
"417",-2,4,9,3,8,10
"418",76002,1,10,10,6,10
"419",-1,5,1,1,1,1
"420",-1,1,7,5,7,10
"421",76029,8,10,10,8,10
"422",-1,10,5,1,3,5
"423",5,3,2,1,7,5
"424",-1,1,5,1,3,5
"425",-1,-1,10,1,2,10
"426",-2,5,8,4,7,10
"427",76002,1,1,1,7,10
"428",-1,5,10,10,7,5
"429",76015,10,1,1,7,5
"430",-1,10,1,1,7,5
"431",-1,10,10,1,8,10
"432",5,8,5,10,7,10
"433",-2,6,1,1,2,6
"434",76001,7,10,10,7,10
"435",76002,1,5,1,3,5
"436",-1,5,10,5,8,10
"437",-1,4,5,5,8,8
"438",-1,1,1,2,1,5
"439",-2,4,9,1,8,9
"440",5,1,5,1,2,5
"441",-1,5,5,1,1,5
"442",-1,1,-1,5,7,5
"443",76002,1,10,10,3,10
"444",-1,1,-2,1,2,1
"445",76029,7,1,1,8,5
"446",5,10,5,5,2,10
"447",-1,1,-1,1,2,7
"448",5,10,1,1,2,1
"449",76002,9,1,1,7,10
"450",-2,8,5,1,1,1
"451",-1,10,-1,4,2,6
"452",-1,1,5,1,7,5
"453",5,5,5,1,7,5
"454",-1,10,1,1,2,1
"455",-2,5,1,1,4,1
"456",-2,10,1,1,1,10
"457",76002,1,-2,1,3,8
"458",-1,9,10,1,3,10
"459",76002,10,-1,-1,6,5
"460",-1,10,-1,-1,2,-1
"461",76002,3,10,5,7,10
"462",-1,1,1,1,7,10
"463",76015,1,5,3,3,5
"464",-1,3,2,1,2,5
"465",-1,6,5,5,7,5
"466",76002,5,10,5,7,9
"467",-2,1,1,1,7,8
"468",-2,5,10,1,1,8
"469",5,1,1,10,7,10
"470",76002,8,8,4,6,7
"471",-2,6,4,3,2,-1
"472",-1,10,10,1,1,10
"473",-1,5,5,5,2,8
"474",76002,1,10,1,1,10
"475",-1,3,4,1,7,5
"476",76002,5,5,1,6,1
"477",-1,6,8,1,1,1
"478",76003,9,10,1,4,8
"479",76002,5,10,5,7,5
"480",76029,1,10,1,7,10
"481",-2,5,1,1,2,5
"482",76002,10,10,1,7,10
"483",5,10,1,1,2,1
"484",-2,3,8,1,8,10
"485",76002,1,5,5,3,10
"486",-2,1,1,1,7,1
"487",-1,5,7,3,2,5
"488",-1,4,4,1,7,5
"489",5,5,10,1,7,7
"490",76002,4,1,1,6,10
"491",76002,5,4,5,3,5
"492",-1,5,9,1,7,7
"493",76002,10,5,1,4,10
"494",-2,5,1,1,2,7
"495",-1,1,10,1,2,10
"496",76026,1,10,1,4,10
"497",5,3,8,4,4,6
"498",-1,6,1,1,1,1
"499",5,4,-1,5,2,5
"500",76002,-1,5,5,2,5
"501",-1,4,10,1,7,1
"502",-2,7,5,1,6,10
"503",-1,10,-1,1,-1,10
"504",76002,5,10,10,2,10
"505",5,5,10,10,7,10
"506",5,5,1,1,1,1
"507",-1,8,10,7,7,7
"508",76002,9,1,1,1,1
"509",76002,5,1,1,1,5
"510",5,1,1,1,1,6
"511",-2,1,10,1,3,-1
"512",76002,6,1,1,1,8
"513",-1,7,6,7,4,4
"514",-2,1,5,4,6,5
"515",-1,6,9,2,1,6
"516",-1,1,9,1,7,10
"517",76002,1,1,1,7,1
"518",5,10,10,1,7,5
"519",-1,5,1,1,1,5
"520",76002,-1,-1,-1,3,-1
"521",-1,1,10,1,2,10
"522",-2,1,1,1,8,10
"523",-1,1,-2,5,8,8
"524",-1,10,-1,1,1,5
"525",-1,1,10,5,7,5
"526",-1,5,5,-1,7,10
"527",76003,3,-1,1,1,7
"528",-1,-2,-1,1,7,-1
"529",-1,-1,-2,-2,2,10
"530",5,5,5,1,2,5
"531",5,1,6,1,7,6
"532",76002,6,2,4,8,2
"533",76002,10,1,1,1,1
"534",76001,1,10,1,1,1
"535",-1,1,1,1,8,1
"536",76002,5,1,1,1,1
"537",-1,1,10,1,2,9
"538",76003,1,10,5,6,5
"539",76002,7,-1,-1,3,-1
"540",-1,1,1,1,1,10
"541",-1,1,10,7,7,10
"542",76002,10,10,4,8,10
"543",-1,7,-1,5,7,10
"544",-1,1,10,5,7,10
"545",5,-1,8,3,2,8
"546",-1,10,1,5,7,10
"547",-1,8,10,1,7,10
"548",76002,1,10,1,1,1
"549",76001,4,4,5,2,4
"550",-2,1,5,5,2,5
"551",5,5,5,1,1,4
"552",-1,10,10,1,2,10
"553",-1,5,1,1,2,1
"554",-1,1,6,1,7,-1
"555",76002,8,5,1,1,5
"556",76029,3,10,5,7,10
"557",5,2,5,1,7,2
"558",5,1,6,4,3,5
"559",-1,1,10,2,7,10
"560",-2,1,1,1,7,1
"561",-1,1,5,1,1,10
"562",76003,10,1,1,2,10
"563",-2,1,1,1,7,5
"564",76028,3,5,1,1,5
"565",-1,10,1,1,2,1
"566",-2,1,6,1,7,6
"567",76003,5,-1,1,8,8
"568",76002,2,7,5,4,5
"569",76003,5,1,1,7,10
"570",-1,5,10,10,8,10
"571",-2,1,1,1,7,10
"572",-1,4,5,7,2,3
"573",-1,1,10,5,8,10
"574",76002,5,6,3,3,7
"575",-1,5,5,1,7,10
"576",-1,10,1,1,7,10
"577",-1,10,5,1,7,8
"578",-1,10,1,1,1,5
"579",-1,9,-1,1,2,10
"580",-1,5,5,1,6,5
"581",76002,1,3,1,8,5
"582",76026,10,1,10,1,10
"583",-1,1,7,1,2,8
"584",-2,6,5,4,4,5
"585",76002,1,1,5,7,9
"586",76028,5,5,5,7,5
"587",5,5,1,1,1,1
"588",-2,1,5,1,1,5
"589",-1,5,3,1,3,10
"590",5,10,5,10,8,10
"591",-1,5,8,1,3,7
"592",-1,10,6,1,3,10
"593",76003,9,2,1,1,2
"594",-1,4,-1,1,2,-1
"595",76002,3,9,1,8,10
"596",5,1,6,1,3,6
"597",-1,1,10,1,1,10
"598",-1,8,10,1,2,5
"599",-1,5,9,1,4,10
"600",-1,6,-1,1,4,-1
"601",5,5,5,5,8,5
"602",76028,10,1,1,7,5
"603",-1,3,9,3,3,9
"604",76002,-1,8,1,7,9
"605",-1,5,4,1,3,8
"606",76002,5,5,1,7,7
"607",76002,5,5,5,2,5
"608",76002,10,1,1,1,1
"609",76002,4,4,4,7,5
"610",-2,-1,6,1,2,4
"611",76002,5,5,4,2,4
"612",76003,1,-1,-1,8,10
"613",-1,9,5,1,2,6
"614",76015,10,3,1,7,6
"615",-1,2,1,1,7,1
"616",76002,4,1,1,2,7
"617",-1,1,9,1,3,10
"618",-1,5,6,1,1,2
"619",-1,10,1,1,1,1
"620",-1,5,5,1,1,3
"621",-1,5,1,1,1,5
"622",-2,8,-1,1,8,1
"623",76003,1,1,1,3,1
"624",-1,10,1,1,2,2
"625",-1,5,7,1,2,8
"626",76002,10,1,1,2,1
"627",5,6,-2,1,4,-2
"628",76002,8,-1,7,3,5
"629",76029,5,-1,10,3,10
"630",76002,5,5,10,1,10
"631",-1,1,1,1,6,1
"632",-1,10,6,1,1,5
"633",-1,1,5,1,6,1
"634",-2,9,1,1,3,1
"635",-2,4,1,1,7,10
"636",-1,10,1,1,7,8
"637",5,1,5,1,1,5
"638",76002,4,8,2,7,10
"639",-1,5,-1,2,1,10
"640",-2,10,1,1,8,10
"641",76009,1,1,1,6,5
"642",76002,1,-1,-2,7,-1
"643",-1,8,7,5,2,4
"644",-2,4,1,1,1,5
"645",76002,7,1,1,1,1
"646",-1,3,5,2,1,7
"647",-1,5,-1,-1,8,-1
"648",-1,5,10,5,7,10
"649",76002,6,5,5,7,6
"650",-1,5,10,5,2,5
"651",-1,5,-2,10,3,10
"652",-2,1,1,1,3,5
"653",-2,7,8,3,7,1
"654",-1,4,5,4,2,5
"655",76028,10,1,1,7,10
"656",-1,5,1,1,2,5
"657",76002,10,-1,10,3,10
"658",-1,1,5,1,2,1
"659",-1,4,3,5,3,7
"660",-1,7,7,4,3,3
"661",-1,7,3,4,4,5
"662",-1,5,5,4,2,5
"663",-1,5,5,5,2,5
"664",5,3,10,3,3,8
"665",76001,-1,5,5,2,6
"666",-1,10,5,1,7,5
"667",-1,6,1,2,1,4
"668",76003,5,5,1,6,5
"669",-1,10,1,1,7,5
"670",76002,3,4,1,1,5
"671",5,-1,1,1,7,1
"672",76029,5,10,8,7,10
"673",76029,1,10,1,1,1
"674",76002,10,3,1,3,5
"675",-1,4,5,2,2,3
"676",76002,5,10,5,7,10
"677",76002,10,5,1,3,5
"678",5,1,10,5,7,5
"679",76002,5,10,1,2,10
"680",-1,4,5,6,3,6
"681",-2,10,-1,-2,-2,-2
"682",76002,10,5,1,1,10
"683",-2,5,-1,1,7,10
"684",-1,10,1,1,2,7
"685",-2,5,1,1,1,-1
"686",76002,6,1,1,1,3
"687",-1,1,-1,1,7,10
"688",76002,10,-1,4,3,10
"689",-1,5,10,1,6,10
"690",76003,7,3,1,3,1
"691",76002,1,5,1,2,10
"692",-2,2,10,1,1,5
"693",76002,1,10,2,3,8
"694",-1,3,8,2,7,8
"695",76028,1,1,8,7,6
"696",76009,6,9,7,2,5
"697",5,1,5,3,6,6
"698",-1,10,10,1,3,10
"699",-1,8,1,1,7,10
"700",-2,1,10,1,2,6
"701",-1,-2,-2,10,2,7
"702",76002,5,1,1,6,5
"703",-1,5,1,1,7,4
"704",-2,1,6,8,2,10
"705",-1,1,-1,5,8,5
"706",-1,10,10,1,2,10
"707",-1,8,8,6,7,6
"708",76002,10,9,1,1,9
"709",-1,5,-2,-1,3,-1
"710",-1,9,1,1,1,1
"711",-1,1,5,1,1,5
"712",76029,2,10,1,2,10
"713",-2,1,-2,-2,-2,-2
"714",-2,2,5,1,2,7
"715",5,1,10,1,7,10
"716",-1,7,5,1,2,10
"717",76003,8,1,5,2,10
"718",76002,10,1,1,8,10
"719",-1,1,-2,1,7,5
"720",76002,5,10,1,8,1
"721",-1,6,10,1,2,10
"722",-1,10,1,10,8,5
"723",76002,10,6,1,2,5
"724",-1,8,7,7,6,8
"725",76002,1,1,1,3,10
"726",-1,10,1,1,3,8
"727",-1,1,1,1,8,5
"728",76029,8,5,5,3,7
"729",-1,5,6,1,1,5
"730",-1,6,5,5,2,8
"731",76002,5,10,1,7,10
"732",-1,1,10,10,8,10
"733",-1,1,8,1,2,10
"734",-2,2,5,1,1,5
"735",76002,5,7,7,2,7
"736",-1,9,1,1,3,10
"737",-1,10,3,1,2,1
"738",-2,8,4,1,4,4
"739",-1,1,8,5,3,5
"740",76002,5,-1,5,7,9
"741",76002,1,1,1,3,10
"742",-1,1,10,1,4,10
"743",-1,1,5,1,1,5
"744",5,7,5,5,2,6
"745",76002,1,5,5,7,5
"746",-1,2,-1,3,3,9
"747",-2,5,10,10,4,10
"748",-2,10,1,1,7,5
"749",-1,5,-1,5,8,10
"750",76002,10,1,1,7,10
"751",76028,-2,1,1,2,10
"752",-1,4,6,5,3,5
"753",-2,1,-2,-2,3,-1
"754",76002,10,1,1,2,1
"755",-2,3,-2,1,2,1
"756",-2,10,1,1,1,6
"757",76029,1,8,6,3,8
"758",-2,10,6,10,7,10
"759",-1,1,1,1,2,1
"760",5,4,10,1,2,10
"761",-2,2,5,1,1,5
"762",-2,4,10,1,2,10
"763",76002,10,6,1,2,6
"764",-1,1,10,1,2,-1
"765",-2,5,5,1,1,5
"766",-2,1,10,5,7,5
"767",76002,10,10,1,3,10
"768",76002,5,4,4,2,6
"769",-1,1,7,5,8,5
"770",-2,8,5,1,1,1
"771",-1,5,10,1,8,10
"772",-1,5,-1,1,3,-1
"773",-1,1,-1,-1,6,-1
"774",76002,10,-1,-1,7,-1
"775",-2,1,-2,1,6,1
"776",-1,5,5,1,7,5
"777",5,1,6,1,2,10
"778",-1,5,1,5,2,5
"779",-2,10,5,1,1,5
"780",-2,5,8,1,3,10
"781",76002,10,5,1,7,1
"782",5,3,1,1,2,5
"783",76002,10,5,1,7,10
"784",-1,10,10,1,7,6
"785",-2,2,6,7,8,9
"786",76003,1,10,10,7,10
"787",76002,5,5,1,3,1
"788",-1,1,-2,1,1,5
"789",-1,1,-1,1,4,7
"790",76002,9,-1,5,2,8
"791",-1,5,5,2,6,5
"792",-2,9,1,4,2,7
"793",76004,4,6,5,-1,5
"794",-1,-1,5,1,1,10
"795",76002,1,1,1,7,10
"796",76002,-1,7,1,2,10
"797",76002,1,6,1,3,6
"798",5,10,1,1,1,10
"799",-1,-1,7,2,2,3
"800",76002,10,1,1,2,3
"801",-1,7,5,1,1,10
"802",76002,10,1,1,1,5
"803",-1,8,9,1,1,8
"804",5,10,-1,5,1,5
"805",-1,1,5,1,4,5
"806",-2,5,1,1,3,6
"807",-2,4,5,5,2,4
"808",-1,1,7,5,3,5
"809",76002,10,-1,-1,3,-1
"810",-1,5,1,1,2,1
"811",-1,5,5,1,6,9
"812",-2,1,-1,1,7,10
"813",76015,6,-1,1,1,1
"814",-1,5,1,1,1,1
"815",5,4,7,7,1,8
"816",-1,5,10,6,7,10
"817",-1,5,5,5,2,5
"818",-1,6,3,9,2,7
"819",-1,5,10,1,8,10
"820",5,3,10,1,2,10
"821",-1,10,9,1,7,5
"822",76002,5,5,1,1,6
"823",-2,-2,6,1,1,7
"824",-2,8,7,1,1,6
"825",76009,5,10,1,7,10
"826",-2,1,1,1,7,10
"827",76002,8,5,4,2,6
"828",76002,1,6,1,7,10
"829",-2,-1,-2,1,2,10
"830",76002,4,4,4,3,4
"831",76002,5,-1,1,3,4
"832",5,6,5,1,1,5
"833",76028,1,10,1,7,10
"834",76015,8,1,1,1,1
"835",76002,9,7,1,6,10
"836",-1,5,8,2,1,5
"837",-2,4,-1,1,7,10
"838",-1,1,6,1,3,1
"839",-1,-1,1,1,8,6
"840",76002,1,5,5,2,6
"841",76002,6,10,10,8,10
"842",76002,10,-1,1,1,5
"843",-2,1,5,1,2,9
"844",76002,1,7,1,1,10
"845",5,9,1,1,1,1
"846",-1,1,10,-2,6,6
"847",-2,4,1,3,8,10
"848",76002,8,7,1,7,5
"849",-2,5,-2,-2,-2,-2
"850",76004,6,-1,6,3,5
"851",76002,10,10,1,1,1
"852",-1,10,5,1,7,10
"853",-1,2,10,8,2,10
"854",-2,6,6,1,1,1
"855",-1,4,6,8,2,8
"856",-1,5,-1,1,8,-1
"857",-1,10,1,1,7,1
"858",5,4,10,1,4,10
"859",-1,10,-2,1,2,1
"860",76002,1,10,6,3,10
"861",-1,10,10,1,2,10
