"","E179WVS","E036","F118","F120","F028","F121"
"1",76003,1,10,10,1,10
"2",4,2,8,1,8,6
"3",76003,8,5,3,1,4
"4",76002,8,5,6,6,6
"5",76006,7,2,2,1,6
"6",76006,6,8,4,2,6
"7",4,6,1,1,1,1
"8",76002,2,7,7,3,7
"9",76003,8,5,4,3,5
"10",76002,2,5,6,2,7
"11",76002,1,3,1,2,9
"12",76003,1,5,5,1,5
"13",4,6,5,10,1,9
"14",76002,5,2,1,6,1
"15",76002,1,1,1,3,10
"16",76001,10,1,1,4,1
"17",76002,8,9,1,2,10
"18",76003,5,4,3,7,5
"19",76001,5,5,1,8,5
"20",76002,6,1,1,1,1
"21",76003,10,1,1,2,10
"22",4,5,1,1,3,1
"23",-1,1,10,1,7,10
"24",76001,1,1,1,1,10
"25",76002,3,-2,1,2,8
"26",-1,1,1,1,4,5
"27",4,4,-2,1,7,10
"28",76001,1,5,1,7,10
"29",76002,1,1,1,7,1
"30",4,5,1,1,7,10
"31",76002,9,5,1,6,10
"32",76002,6,1,1,1,2
"33",76002,10,6,4,4,10
"34",76001,9,6,1,3,8
"35",76002,8,5,3,3,7
"36",76002,1,7,1,2,9
"37",76004,4,9,5,7,9
"38",76002,1,10,6,3,10
"39",76002,9,5,1,7,8
"40",76002,8,5,6,4,9
"41",4,1,10,1,1,7
"42",76002,1,8,4,3,7
"43",4,1,5,5,7,1
"44",4,1,5,1,6,5
"45",-2,3,1,1,7,1
"46",76002,10,3,1,2,4
"47",4,6,8,6,3,9
"48",4,10,1,1,7,10
"49",4,3,1,1,2,4
"50",4,10,5,1,2,5
"51",76002,-1,8,3,3,3
"52",76002,7,5,1,4,-1
"53",76002,10,2,2,4,2
"54",76002,9,7,1,3,8
"55",76002,8,5,5,3,10
"56",76002,10,9,5,3,10
"57",76007,9,1,1,1,7
"58",76003,9,1,1,7,8
"59",76002,7,2,1,7,3
"60",76001,10,4,3,7,10
"61",76002,1,5,1,2,1
"62",76002,5,5,1,6,1
"63",76002,10,1,1,1,10
"64",4,9,10,1,3,10
"65",4,-1,1,1,7,1
"66",4,9,10,1,1,5
