"","E179WVS","E036","F118","F120","F028","F121"
"67",4,2,10,1,3,10
"68",4,9,1,1,3,1
"69",76001,9,1,1,2,1
"70",76001,1,2,1,2,5
"71",76002,10,1,10,7,5
"72",4,6,5,1,8,5
"73",4,5,1,1,1,1
"74",76002,4,1,1,3,1
"75",76002,5,5,1,7,10
"76",4,10,1,1,1,10
"77",4,3,6,4,1,8
"78",76002,10,10,1,8,10
"79",4,8,4,1,2,1
"80",76001,10,3,1,8,8
"81",76002,8,1,1,7,10
"82",76002,5,2,1,1,1
"83",76010,5,5,1,7,8
"84",76001,5,2,2,3,2
"85",4,5,-2,1,7,10
"86",76002,6,3,1,8,1
"87",76002,4,1,1,7,10
"88",76002,1,1,1,7,1
"89",76002,1,1,1,2,10
"90",4,5,1,1,1,10
"91",76002,1,1,1,2,5
"92",4,1,2,1,7,5
"93",4,1,5,1,7,1
"94",4,10,5,2,1,5
"95",4,5,3,1,2,4
"96",76006,4,2,1,1,3
"97",4,6,1,1,2,5
"98",76002,3,4,5,1,2
"99",76002,4,2,2,3,6
"100",76029,8,1,1,3,5
"101",76002,6,2,8,3,8
"102",76002,9,3,3,3,7
"103",4,1,1,1,1,1
"104",76002,8,5,5,3,5
"105",76003,2,1,10,3,10
"106",76002,7,2,2,3,8
"107",76002,2,1,10,3,10
"108",4,1,1,10,2,10
"109",76002,3,8,2,2,2
"110",76002,2,1,10,7,10
"111",4,5,1,1,7,1
"112",76002,7,1,1,7,1
"113",76002,6,7,2,1,6
"114",76002,7,2,2,7,2
"115",76002,4,9,1,2,2
"116",76002,6,5,2,3,5
"117",76002,5,1,1,6,1
"118",76003,8,7,1,6,7
"119",4,10,1,1,1,5
"120",76002,4,2,2,2,2
"121",76010,1,1,1,1,1
"122",76007,10,5,5,7,4
"123",76003,5,5,1,1,1
"124",76002,9,1,3,2,5
"125",76002,6,5,3,1,4
"126",76003,6,3,3,1,3
"127",76002,7,3,3,2,4
"128",76002,9,7,3,2,5
"129",76002,6,5,3,2,4
"130",76003,4,10,5,2,3
"131",-2,3,1,1,2,1
"132",-2,9,5,4,3,5
"133",76001,5,1,1,1,1
"134",4,1,1,1,3,5
"135",76002,9,5,1,7,5
"136",76001,10,4,2,4,8
"137",4,2,1,1,3,5
"138",76002,1,7,1,3,10
"139",4,1,2,1,6,4
"140",4,1,5,1,3,5
"141",76002,1,7,1,7,1
"142",76002,5,5,1,2,7
"143",76003,1,1,1,1,1
"144",76002,7,1,1,2,1
"145",76002,9,5,1,7,9
"146",76002,10,1,1,3,8
"147",76002,1,5,1,7,10
"148",76010,9,1,1,1,6
"149",76029,6,10,1,8,10
"150",4,10,8,1,7,8
"151",76001,1,10,1,7,7
"152",76002,7,5,1,8,-2
"153",76029,5,8,1,7,8
"154",76001,3,1,1,2,1
"155",76002,8,4,4,6,5
"156",76001,10,1,1,2,1
"157",76003,5,5,1,3,8
"158",76004,1,1,1,2,1
"159",76002,10,5,10,7,5
"160",76002,10,1,1,3,1
"161",76001,2,2,2,6,-2
"162",76004,4,5,5,8,8
"163",-2,4,1,1,1,3
"164",4,7,5,1,7,5
"165",76003,3,1,1,2,5
"166",76002,3,2,1,2,4
"167",76006,3,3,1,2,5
"168",4,3,1,2,7,5
"169",4,4,5,1,1,6
"170",76006,1,1,1,7,5
"171",4,7,1,1,2,5
"172",76002,5,1,1,1,4
"173",76007,5,5,1,8,10
"174",4,4,1,1,3,8
"175",76002,10,2,2,2,2
"176",4,7,1,1,7,1
"177",4,7,2,4,7,5
"178",4,6,1,1,3,8
"179",4,7,2,1,1,3
"180",76003,3,1,1,7,8
"181",76007,5,1,1,2,1
"182",76006,3,1,1,7,3
"183",4,10,6,4,2,7
"184",76029,5,8,2,2,8
"185",76002,1,5,5,7,5
"186",76002,7,3,7,7,6
"187",76002,8,9,1,7,7
"188",76002,5,5,5,6,10
"189",76002,8,2,7,7,4
"190",76006,7,5,1,3,3
"191",76002,8,6,2,7,5
"192",76002,6,9,1,7,10
"193",76002,4,1,1,7,10
"194",76001,9,10,1,2,10
"195",76001,7,1,1,4,1
"196",76002,8,5,2,7,5
"197",76001,10,1,1,1,10
"198",76003,3,1,9,3,9
"199",76002,1,5,1,7,10
"200",76002,10,1,1,2,10
"201",76003,3,1,10,2,10
"202",76002,1,1,10,7,10
"203",76002,2,1,2,3,2
"204",76002,8,2,2,2,3
"205",76002,9,8,2,3,8
"206",76002,9,2,2,3,9
"207",76002,9,1,7,2,7
"208",76002,7,2,8,1,8
"209",76003,8,4,4,7,7
"210",76001,6,1,1,1,1
"211",76002,6,1,1,1,1
"212",76002,10,8,1,3,7
"213",76002,6,8,8,7,8
"214",76002,5,1,1,1,10
"215",76002,3,1,1,2,1
"216",76002,1,1,1,2,10
"217",76003,8,8,4,3,4
"218",4,4,5,1,2,10
"219",76002,10,10,1,1,4
"220",76002,5,3,1,2,2
"221",76003,6,1,1,3,5
"222",76002,4,2,1,2,1
"223",76006,1,1,3,7,9
"224",4,1,2,1,7,7
"225",76001,7,1,1,3,5
"226",76002,9,1,1,7,10
"227",76001,10,1,1,3,10
"228",76003,5,2,2,3,9
"229",76003,6,2,2,7,10
"230",76001,6,5,1,3,5
"231",76002,9,7,2,3,2
"232",4,5,7,7,3,9
"233",76002,2,3,3,3,3
"234",76001,2,1,1,3,9
"235",76002,1,8,10,3,1
"236",76002,7,3,1,3,1
"237",76003,5,1,1,3,6
"238",76003,8,5,1,3,3
"239",76003,3,1,1,7,7
"240",76003,3,1,1,3,1
"241",76001,8,1,1,1,8
"242",76003,5,5,1,2,8
"243",4,5,1,1,1,10
"244",76001,1,9,1,7,6
"245",76003,10,1,1,1,10
"246",76001,5,5,1,1,6
"247",76003,5,1,1,2,10
"248",4,5,5,1,2,5
"249",76001,10,5,1,1,5
"250",4,10,10,1,1,9
"251",76002,6,1,1,1,10
"252",76002,8,1,1,7,10
"253",76002,3,1,1,7,10
"254",76002,7,5,5,1,9
"255",4,4,1,1,8,10
"256",76002,1,9,1,1,4
"257",4,2,5,1,7,9
"258",76002,10,5,1,1,3
"259",76002,5,3,1,1,1
"260",76002,8,6,3,7,6
"261",76002,1,9,10,1,10
"262",76002,5,1,10,7,1
"263",4,1,1,1,1,5
"264",76002,10,1,1,2,10
"265",76002,10,1,1,7,10
"266",76003,4,5,3,7,6
"267",76001,8,6,2,1,2
"268",4,3,6,1,7,10
"269",76001,2,2,1,6,10
"270",76002,5,1,1,2,1
"271",76002,10,1,1,2,5
"272",76002,10,10,1,2,10
"273",76002,10,1,1,2,10
"274",76004,1,1,1,3,10
"275",76002,5,5,1,7,5
"276",76002,10,1,1,3,10
"277",76001,10,1,1,1,10
"278",76002,5,1,1,7,1
"279",76002,1,10,1,1,10
"280",4,1,1,1,1,5
"281",76002,5,1,1,6,1
"282",76007,7,1,1,8,7
"283",76002,5,3,1,2,3
"284",76003,1,1,1,2,1
"285",4,3,5,5,1,9
"286",76002,5,5,1,2,5
"287",76003,5,5,5,1,3
"288",76003,10,1,1,7,10
"289",76010,5,5,1,3,10
"290",76002,6,5,5,7,4
"291",4,4,1,1,7,5
"292",76002,7,8,1,1,6
"293",76002,8,1,1,6,1
"294",76002,1,1,1,4,3
"295",4,1,10,1,7,10
"296",76002,8,7,1,3,4
"297",76002,3,1,1,1,5
"298",4,2,8,1,8,5
"299",4,5,1,1,7,7
"300",4,4,2,1,7,3
"301",76002,1,10,1,2,1
"302",76010,5,9,5,1,5
"303",-1,5,5,5,3,5
"304",76006,5,10,1,7,1
"305",4,5,5,8,4,10
"306",76003,5,10,8,3,4
"307",76002,6,10,1,2,1
"308",76002,5,10,1,2,3
"309",-1,5,5,5,7,5
"310",76001,5,8,5,3,5
"311",76002,7,8,1,3,9
"312",76001,4,7,1,1,5
"313",76002,9,1,1,2,1
"314",76001,1,1,1,2,1
"315",76002,10,1,1,2,10
"316",76001,10,1,10,2,1
"317",76004,9,7,-2,2,6
"318",76002,3,2,2,1,10
"319",76002,8,1,1,2,5
"320",76003,10,10,1,2,10
"321",76007,5,10,10,3,10
"322",76002,7,10,1,2,2
"323",76002,10,8,8,2,8
"324",76002,5,10,1,1,1
"325",76002,5,10,1,1,1
"326",76002,5,10,1,2,5
"327",76002,5,10,5,2,5
"328",4,5,10,7,2,7
"329",76002,6,10,1,3,1
"330",76002,1,10,5,2,5
"331",4,3,5,1,2,2
"332",4,4,5,1,2,3
"333",76003,-2,5,1,2,1
"334",76003,1,5,1,2,1
"335",4,1,5,3,1,5
"336",76002,8,5,1,8,6
"337",4,4,5,3,1,5
"338",76002,10,7,1,2,1
"339",76003,10,5,5,3,5
"340",76003,3,5,1,2,9
"341",76005,8,6,5,1,7
"342",4,5,5,5,2,3
"343",76010,1,8,1,8,8
"344",76002,1,1,5,3,10
"345",76002,5,-2,7,8,8
"346",76003,6,6,4,6,8
"347",76002,2,3,1,3,7
"348",76003,5,7,2,2,1
"349",76029,4,10,1,3,10
"350",76002,-1,-1,1,4,-2
"351",4,10,1,1,1,1
"352",4,5,1,1,1,10
"353",4,1,10,10,1,1
"354",76006,5,10,1,1,1
"355",76001,10,1,1,2,1
"356",4,1,10,1,7,10
"357",4,1,1,1,7,10
"358",4,1,1,1,2,1
"359",76001,10,1,1,7,1
"360",4,10,1,1,1,10
"361",76004,1,10,1,7,5
"362",5,4,5,4,2,8
"363",76006,3,5,3,7,3
"364",76002,6,4,2,2,5
"365",4,2,9,1,3,10
"366",76002,1,7,7,7,9
"367",76001,2,5,7,2,10
"368",76001,1,5,2,6,7
"369",76002,1,10,9,2,8
"370",76003,1,3,7,8,9
"371",76007,1,1,1,6,1
"372",76003,1,1,1,3,2
"373",76029,9,6,1,3,3
"374",76002,8,1,1,3,1
"375",76006,1,1,1,2,7
"376",76001,10,1,1,1,1
"377",76006,10,-1,1,-2,1
"378",76006,10,-1,1,1,1
"379",76002,10,1,1,2,5
"380",76002,10,1,1,1,8
"381",76002,1,2,1,1,10
"382",76003,8,5,1,3,6
"383",76001,1,5,1,1,10
"384",76002,10,5,1,3,6
"385",76002,9,1,1,2,1
"386",76002,2,-2,1,1,3
"387",76002,5,1,1,1,1
"388",76002,8,10,3,3,2
"389",76001,6,10,5,8,8
"390",76002,1,3,1,1,1
"391",76003,5,10,5,3,5
"392",76001,10,5,1,3,5
"393",4,5,1,1,3,5
"394",4,10,5,1,2,1
"395",4,10,10,1,3,5
"396",76001,5,10,5,3,10
"397",4,5,5,1,3,10
"398",4,1,10,1,6,5
"399",76002,5,1,1,7,10
"400",4,5,5,5,3,5
"401",76002,5,8,1,4,9
"402",76006,7,5,3,7,5
"403",76002,5,6,1,7,8
"404",76002,5,1,1,2,5
"405",76002,7,1,1,2,1
"406",4,7,8,9,7,3
"407",4,8,1,1,6,10
"408",4,2,5,5,1,5
"409",4,3,-2,1,2,5
"410",76002,8,10,1,2,8
"411",4,4,8,2,6,8
"412",4,2,2,1,2,5
"413",76002,9,9,1,2,8
"414",76002,5,5,1,1,4
"415",76002,5,2,5,4,5
"416",76003,5,1,1,2,1
"417",76003,9,7,1,7,5
"418",4,6,3,1,7,3
"419",76001,10,1,1,2,10
"420",4,3,1,1,1,7
"421",4,5,5,2,1,2
"422",4,1,1,7,7,9
"423",76004,1,8,1,1,8
"424",76002,4,5,1,7,7
"425",76010,5,1,1,1,9
"426",76003,4,1,1,1,1
"427",76002,10,10,1,7,5
"428",76007,10,1,1,2,5
"429",76003,1,1,1,8,5
"430",76002,3,10,1,1,8
"431",4,10,10,1,1,1
"432",76002,10,7,1,7,5
"433",4,6,1,1,2,10
"434",4,9,1,1,7,1
"435",4,9,1,1,1,1
"436",4,8,5,1,2,10
"437",76003,8,8,1,7,5
"438",76002,7,4,1,4,4
"439",76006,6,5,1,1,5
"440",4,2,3,1,7,7
"441",76002,5,5,5,8,8
"442",76002,8,8,8,8,8
"443",76001,5,3,3,1,7
"444",76002,6,2,2,2,7
"445",76003,4,3,3,7,3
"446",76002,5,1,1,2,4
"447",76002,6,2,2,1,2
"448",-2,-1,2,2,1,2
"449",76002,8,8,8,1,8
"450",76002,7,3,3,1,3
"451",76003,8,8,8,1,8
"452",76001,8,2,4,2,8
"453",76002,7,8,2,2,7
"454",76002,8,6,1,1,8
"455",76002,7,8,10,7,8
"456",76007,9,5,1,4,6
"457",76002,3,1,1,3,7
"458",76002,9,7,1,2,7
"459",76002,8,7,1,2,6
"460",76002,5,8,1,1,7
"461",76003,8,4,1,3,1
"462",76002,8,4,1,1,4
"463",76002,5,5,1,6,6
"464",76002,5,5,1,3,5
"465",76001,3,1,1,8,1
"466",4,1,1,5,3,5
"467",76029,3,1,3,3,4
"468",-1,2,1,1,1,1
"469",76001,5,1,1,3,3
"470",5,9,1,1,3,1
"471",4,6,1,1,1,1
"472",76029,4,1,1,7,1
"473",76003,6,1,1,3,1
"474",76002,4,4,2,2,3
"475",76002,5,3,1,2,6
"476",76002,4,5,5,2,4
"477",4,5,1,1,3,4
"478",76002,1,1,1,3,5
"479",4,4,5,5,3,9
"480",76002,4,6,3,7,8
"481",76001,5,7,3,7,9
"482",76001,3,7,7,8,10
"483",4,7,7,3,1,9
"484",76003,1,10,10,8,10
"485",76004,5,1,1,1,5
"486",4,5,5,1,6,5
"487",4,5,1,1,1,1
"488",76002,2,4,1,3,5
"489",76002,3,5,2,3,9
"490",76001,5,5,1,2,9
"491",76029,3,5,7,7,9
"492",76001,3,5,3,8,9
"493",76002,4,3,4,2,5
"494",76002,10,1,1,8,5
"495",4,6,9,10,2,8
"496",4,10,1,1,2,5
"497",76002,6,5,1,7,5
"498",76002,10,1,1,2,10
"499",4,10,1,1,8,1
"500",4,10,5,1,1,8
"501",4,10,1,1,8,10
"502",76002,1,1,1,7,1
"503",76001,10,1,1,1,10
"504",4,9,10,1,1,10
"505",76002,5,1,1,1,1
"506",76002,10,1,1,1,1
"507",76001,10,1,1,1,1
"508",76002,5,1,1,1,1
"509",76003,1,1,1,7,10
"510",76003,5,1,1,7,10
"511",4,9,10,1,1,1
"512",76002,5,1,8,2,10
"513",76002,10,1,1,1,1
"514",76002,1,5,1,6,10
"515",4,1,5,1,1,5
"516",76003,1,10,1,7,10
"517",76001,1,-2,1,7,1
"518",76002,1,1,1,2,1
"519",4,8,5,1,3,5
"520",76002,10,4,1,2,3
"521",76003,10,1,1,2,10
"522",76002,1,5,5,2,5
"523",4,2,1,1,1,3
"524",76002,6,5,5,3,7
"525",76002,10,1,1,2,5
"526",76001,1,1,3,1,5
"527",4,10,5,5,7,10
"528",76002,10,1,1,7,1
"529",76002,10,1,1,3,10
"530",76002,5,1,1,7,6
"531",76002,5,5,1,2,5
"532",76002,1,1,1,1,10
"533",76002,1,1,1,7,5
"534",76001,1,5,1,7,5
"535",4,5,1,1,1,1
"536",76029,8,6,1,7,7
"537",4,10,5,5,4,4
"538",76001,5,1,1,4,8
"539",76002,2,8,1,1,8
"540",76002,10,1,1,2,1
"541",76001,1,10,1,2,5
"542",4,8,6,1,1,5
"543",76003,1,3,1,2,5
"544",76002,10,9,1,1,1
"545",76002,10,4,1,4,1
"546",76002,3,1,10,7,3
"547",76002,8,5,1,4,5
"548",76001,7,1,1,6,10
"549",-1,10,6,10,1,8
"550",76003,5,1,1,1,1
"551",76010,4,6,5,3,9
"552",76003,10,-2,1,7,10
"553",4,1,5,1,2,8
"554",76001,1,1,1,2,1
"555",76001,4,5,1,3,8
"556",76003,1,1,1,1,1
"557",76002,8,1,1,6,10
"558",4,3,3,1,7,9
"559",76002,4,8,7,2,7
"560",76004,2,8,5,3,9
"561",4,7,6,7,3,6
"562",4,4,2,1,2,6
"563",76001,3,5,1,2,7
"564",76003,8,5,3,2,5
"565",76002,1,10,2,7,3
"566",76003,8,6,3,2,8
"567",76001,6,8,1,2,4
"568",76005,6,5,5,2,5
"569",76005,7,3,2,3,4
"570",76003,3,6,4,3,7
"571",76029,3,10,1,7,10
"572",76005,2,3,5,4,5
"573",4,4,1,10,1,1
"574",76001,4,1,4,3,5
"575",76001,1,1,10,7,10
"576",76002,2,5,1,2,8
"577",4,2,5,1,3,5
"578",76002,3,8,2,7,6
"579",76029,3,6,2,7,5
"580",76002,3,8,2,7,6
"581",4,7,3,6,1,6
"582",76001,3,8,1,3,5
"583",76029,5,8,7,7,9
"584",76006,2,1,1,2,9
"585",76006,1,8,8,7,9
"586",76006,8,1,1,7,10
"587",76002,9,9,8,3,1
"588",76003,1,9,1,1,10
"589",76003,1,8,8,2,8
"590",76003,1,1,1,7,1
"591",4,2,8,1,8,9
"592",76002,10,9,9,7,9
"593",76003,2,10,1,2,1
"594",4,1,1,1,3,10
"595",76001,4,1,1,4,-2
"596",4,4,1,1,1,1
"597",4,1,5,3,7,10
"598",4,1,1,1,2,-2
"599",4,2,6,9,7,10
"600",76002,10,8,8,3,8
"601",4,2,5,1,1,10
"602",76003,1,1,1,2,6
"603",4,4,1,1,7,10
"604",76003,10,1,1,3,2
"605",4,4,5,1,7,8
"606",4,7,9,9,2,8
"607",4,-2,-2,1,7,10
"608",76002,4,-2,1,2,5
"609",76002,3,5,8,6,10
"610",4,6,5,8,3,10
"611",4,1,1,1,7,1
"612",76002,5,1,1,3,9
"613",76001,9,6,5,2,10
"614",76002,1,1,1,7,8
"615",76002,10,4,1,7,5
"616",76006,7,5,1,1,6
"617",76001,10,-2,10,7,2
"618",76006,6,7,3,1,10
"619",76001,2,5,1,7,4
"620",76001,1,5,1,7,10
"621",4,5,-2,1,2,5
"622",76002,1,1,1,1,10
"623",76003,10,10,10,3,10
"624",4,10,1,1,2,1
"625",76004,1,5,10,2,10
"626",4,9,5,1,1,1
"627",76003,5,10,5,1,10
"628",-2,10,-2,-2,3,-2
"629",4,5,5,1,1,9
"630",76029,6,10,8,2,10
"631",76003,1,5,1,6,1
"632",76002,3,9,8,2,5
"633",4,1,10,1,8,1
"634",4,5,5,1,1,2
"635",4,4,5,1,7,1
"636",4,1,10,1,8,10
"637",76003,1,8,5,3,5
"638",4,7,8,1,8,9
"639",4,4,3,5,3,5
"640",76029,9,5,5,3,5
"641",4,2,9,3,2,9
"642",76002,2,5,1,7,5
"643",4,1,8,1,3,8
"644",76002,10,1,1,1,1
"645",76001,9,-1,2,1,1
"646",76002,-1,9,1,1,1
"647",76002,10,4,2,7,2
"648",4,5,5,2,3,2
"649",76002,8,1,1,2,5
"650",76001,1,1,1,4,10
"651",76001,7,10,1,6,1
"652",76001,9,8,1,7,3
"653",76002,8,1,2,3,4
"654",76002,3,10,1,2,10
"655",76001,5,2,1,2,8
"656",76001,9,6,1,1,1
"657",4,9,6,3,2,4
"658",4,5,5,5,3,10
"659",76006,3,3,1,1,5
"660",4,9,8,9,7,10
"661",76004,1,5,1,2,5
"662",76002,8,1,1,2,1
"663",76002,5,6,2,2,3
"664",76002,5,5,5,7,10
"665",76002,4,5,3,7,3
"666",4,4,5,1,2,7
"667",76002,5,5,1,3,5
"668",4,5,5,5,2,8
"669",76001,5,4,4,2,6
"670",76002,10,5,5,1,5
"671",76003,4,5,1,7,5
"672",76002,10,1,1,2,5
"673",76001,1,5,3,2,3
"674",76003,3,5,10,2,10
"675",4,5,2,5,6,5
"676",4,7,5,1,8,6
"677",76002,4,4,1,2,9
"678",4,1,3,1,1,8
"679",76003,6,1,1,1,1
"680",76001,4,5,1,7,10
"681",4,5,4,3,7,9
"682",4,10,1,1,7,9
"683",76002,3,5,1,7,7
"684",76029,8,6,2,7,5
"685",76003,10,5,7,3,7
"686",76003,6,1,5,2,5
"687",4,5,1,1,1,9
"688",76002,5,5,4,7,5
"689",76002,7,5,5,1,5
"690",4,3,6,5,2,5
"691",76002,10,10,1,1,10
"692",76002,1,2,1,2,7
"693",76003,5,5,1,1,10
"694",76002,9,1,-2,1,-2
"695",76001,7,1,1,7,5
"696",76002,5,2,1,1,10
"697",76002,10,3,2,2,9
"698",4,3,2,1,3,10
"699",76002,10,3,3,1,8
"700",76002,5,1,5,3,5
"701",76002,9,1,1,3,10
"702",76002,7,1,1,4,9
"703",76002,5,1,5,7,5
"704",4,10,3,1,7,8
"705",76002,1,1,1,4,1
"706",76010,6,10,1,8,1
"707",76002,1,10,1,7,-2
"708",76001,1,1,1,2,10
"709",76003,1,1,1,1,1
"710",76002,1,1,1,2,1
"711",76001,1,10,1,3,10
"712",76002,1,10,1,2,10
"713",76002,1,1,1,7,1
"714",76001,6,1,10,7,10
"715",76002,2,5,1,2,1
"716",76004,3,7,1,4,1
"717",76001,7,1,1,1,5
"718",4,10,4,1,2,2
"719",76001,1,1,1,2,1
"720",76002,8,2,1,1,2
"721",76001,1,6,1,2,1
"722",4,4,5,-2,2,-2
"723",76001,10,1,1,1,1
"724",76002,1,1,1,3,1
"725",4,7,1,1,3,5
"726",4,2,1,1,2,3
"727",76006,1,1,1,2,10
"728",4,10,1,1,2,5
"729",76010,5,5,5,2,6
"730",76003,1,5,1,7,5
"731",76006,4,1,1,2,10
"732",76002,3,7,3,8,5
"733",76006,6,6,1,2,7
"734",76002,2,3,1,2,4
"735",4,1,1,1,1,1
"736",4,1,1,1,7,1
"737",76029,1,10,10,7,1
"738",4,10,1,1,-2,10
"739",76003,10,10,1,7,10
"740",76003,10,1,1,1,-2
"741",4,1,5,1,2,10
"742",76010,6,1,1,7,1
"743",76003,1,10,1,1,10
"744",4,1,1,1,3,1
"745",4,10,10,1,6,10
"746",76002,6,6,1,3,6
"747",76001,5,1,1,1,1
"748",76001,6,7,1,4,6
"749",76002,9,7,4,2,7
"750",76002,6,5,1,2,6
"751",4,10,3,1,8,5
"752",76001,9,2,3,1,10
"753",4,4,3,1,1,6
"754",76004,9,5,1,8,5
"755",76001,3,4,1,1,1
"756",76002,8,5,5,7,5
"757",76002,8,2,1,8,2
"758",76002,7,1,3,8,6
"759",76003,7,1,1,1,5
"760",76002,10,1,1,7,1
"761",76002,8,6,6,7,8
"762",76002,6,2,3,1,4
"763",76001,7,6,3,7,4
"764",76002,8,6,3,7,8
"765",76002,3,5,1,2,1
"766",76002,9,5,1,7,7
"767",4,5,1,1,2,10
"768",76003,6,3,1,2,6
"769",4,8,9,2,2,7
"770",4,4,2,1,1,1
"771",76001,7,3,1,7,9
"772",4,8,4,1,1,4
"773",76002,8,1,1,7,8
"774",76002,2,10,1,4,1
"775",76003,5,2,5,7,9
"776",4,4,-2,1,3,1
"777",4,4,1,1,7,-2
"778",4,6,1,1,1,10
"779",76003,3,5,1,2,5
"780",76003,3,1,1,7,10
"781",4,1,1,1,2,10
"782",4,1,3,1,8,8
"783",76001,-2,1,1,3,1
"784",76002,5,8,1,7,10
"785",4,9,2,1,1,4
"786",4,5,7,7,2,7
"787",76004,1,1,1,7,10
"788",4,3,8,8,1,8
"789",4,5,1,1,4,2
"790",76003,8,1,1,7,1
"791",76002,5,5,1,8,5
"792",76029,10,1,1,2,5
"793",4,6,3,1,1,5
"794",76001,8,5,1,4,9
"795",76001,5,5,3,1,7
"796",76002,8,5,1,3,1
"797",76003,4,9,1,7,4
"798",76003,10,5,3,2,3
"799",76002,5,-2,1,8,10
"800",76001,8,2,1,1,1
"801",76002,1,1,1,1,1
"802",76001,5,1,1,2,5
"803",76002,3,1,1,4,9
"804",76001,5,8,1,1,1
"805",76006,6,1,4,1,9
"806",76001,5,5,5,2,4
"807",76002,9,2,1,2,4
"808",4,5,10,10,1,10
"809",76003,5,2,3,7,5
"810",76002,8,1,1,7,1
"811",76002,2,2,1,3,1
"812",76003,5,6,1,2,10
"813",76004,1,8,1,3,1
"814",76003,5,2,1,2,4
"815",76002,4,4,4,2,3
"816",76002,1,10,1,2,1
"817",76002,4,1,1,3,1
"818",76002,7,9,1,3,1
"819",76002,7,1,1,2,1
"820",76002,10,9,1,3,1
"821",76002,4,6,8,3,9
"822",76002,4,5,5,3,8
"823",76002,4,1,1,2,1
"824",76002,10,1,1,2,1
"825",76010,1,8,2,7,8
"826",4,1,1,1,7,1
"827",76007,3,7,10,7,10
"828",76007,5,9,1,3,8
"829",76007,8,6,1,4,6
"830",76010,1,5,5,7,5
"831",76004,5,3,3,7,5
"832",76005,9,10,1,7,7
"833",76002,1,1,1,3,10
"834",76002,4,5,2,3,5
"835",76001,1,-2,1,2,1
"836",4,4,5,1,2,1
"837",76001,4,1,1,1,1
"838",4,6,9,3,7,8
"839",76001,5,1,1,2,1
"840",76003,5,3,1,1,5
"841",76002,5,10,1,1,7
"842",76003,9,5,1,3,8
"843",4,1,5,1,2,10
"844",76001,7,5,5,7,5
"845",4,7,5,5,4,5
"846",76029,9,5,2,1,7
"847",4,7,6,8,2,9
"848",76003,3,1,7,2,9
"849",76002,10,1,1,3,8
"850",76029,6,10,10,8,10
"851",4,2,1,1,1,5
"852",76006,10,10,7,8,8
"853",76003,8,4,5,7,5
"854",76002,9,2,7,2,-2
"855",76006,10,6,5,3,8
"856",76007,5,3,1,2,1
"857",4,6,6,6,2,6
"858",76002,9,8,1,2,2
"859",76006,8,9,1,2,10
"860",76001,7,7,1,2,6
"861",76002,8,-2,1,2,7
"862",4,6,2,1,4,1
"863",76029,5,7,1,2,5
"864",4,1,1,1,2,1
"865",76001,2,1,1,2,1
"866",76002,10,5,1,2,8
"867",76003,4,3,1,8,1
"868",4,5,3,1,2,3
"869",76002,7,7,5,7,8
"870",76002,1,1,1,2,1
"871",4,-2,10,1,1,10
"872",76002,5,1,1,3,1
"873",76001,7,5,1,1,3
"874",76003,5,1,1,2,6
"875",4,3,5,1,2,5
"876",4,3,7,1,7,1
"877",4,3,6,5,1,5
"878",76003,1,7,7,2,1
"879",4,4,5,5,1,5
"880",76002,1,6,6,1,6
"881",4,6,5,1,1,7
"882",76004,2,1,1,1,1
