"","partido","microGap","Dimensão","Período"
"1","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"2","PT",0.297011225044979,"Liberal / Fundamentalismo adaptado","2021-2019"
"3","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"4","PT",0.0763358647877649,"Liberal / Fundamentalismo adaptado","2021-2019"
"5","PSL",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"6","PT",0.131504704852068,"Liberal / Fundamentalismo adaptado","2021-2019"
"7","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"8","PT",0.186673544916372,"Liberal / Fundamentalismo adaptado","2021-2019"
"9","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"10","MDB",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"11","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"12","MDB",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"13","PT",0.0763358647877649,"Liberal / Fundamentalismo adaptado","2021-2019"
"14","PT",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"15","PT",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"16","PT",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"17","PSL",0.213926166011582,"Liberal / Fundamentalismo adaptado","2021-2019"
"18","PT",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"19","PT",0.241842384980675,"Liberal / Fundamentalismo adaptado","2021-2019"
"20","MDB",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"21","PT",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"22","PSL",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"23","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"24","PT",0.297011225044979,"Liberal / Fundamentalismo adaptado","2021-2019"
"25","PSL",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"26","PT",0.0763358647877649,"Liberal / Fundamentalismo adaptado","2021-2019"
"27","PT",0.352180065109282,"Liberal / Fundamentalismo adaptado","2021-2019"
"28","PT",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"29","PSL",0.241842384980675,"Liberal / Fundamentalismo adaptado","2021-2019"
"30","PSL",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"31","PSL",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"32","PT",0.213926166011582,"Liberal / Fundamentalismo adaptado","2021-2019"
"33","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"34","PSL",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"35","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"36","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"37","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"38","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"39","PSL",0.213926166011582,"Liberal / Fundamentalismo adaptado","2021-2019"
"40","PT",0.213926166011582,"Liberal / Fundamentalismo adaptado","2021-2019"
"41","PT",0.297011225044979,"Liberal / Fundamentalismo adaptado","2021-2019"
"42","PT",0.352180065109282,"Liberal / Fundamentalismo adaptado","2021-2019"
"43","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"44","PT",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"45","PT",0.131504704852068,"Liberal / Fundamentalismo adaptado","2021-2019"
"46","PT",0.241842384980675,"Liberal / Fundamentalismo adaptado","2021-2019"
"47","PT",0.297011225044979,"Liberal / Fundamentalismo adaptado","2021-2019"
"48","MDB",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"49","PT",0.455060793602597,"Liberal / Fundamentalismo adaptado","2021-2019"
"50","PT",0.0763358647877649,"Liberal / Fundamentalismo adaptado","2021-2019"
"51","PT",0.213926166011582,"Liberal / Fundamentalismo adaptado","2021-2019"
"52","PT",0.269095006075886,"Liberal / Fundamentalismo adaptado","2021-2019"
"53","PT",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"54","PT",0.0763358647877649,"Liberal / Fundamentalismo adaptado","2021-2019"
"55","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
"56","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"57","PT",0.131504704852068,"Liberal / Fundamentalismo adaptado","2021-2019"
"58","PT",0.241842384980675,"Liberal / Fundamentalismo adaptado","2021-2019"
"59","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"60","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"61","PSL",0.5102296336669,"Liberal / Fundamentalismo adaptado","2021-2019"
"62","PT",0.620567313795507,"Liberal / Fundamentalismo adaptado","2021-2019"
"63","PT",0.675736153859811,"Liberal / Fundamentalismo adaptado","2021-2019"
"64","PT",0.241842384980675,"Liberal / Fundamentalismo adaptado","2021-2019"
"65","PT",0.131504704852068,"Liberal / Fundamentalismo adaptado","2021-2019"
"66","PT",0.33030528299616,"Liberal / Fundamentalismo adaptado","2021-2019"
"67","PT",0.730904993924114,"Liberal / Fundamentalismo adaptado","2021-2019"
