"","partido","microGap","Dimensão","Período"
"1","PSDB",0.309729854537689,"Liberal / Fundamentalismo adaptado","2005-2006"
"2","PSDB",0.289589454486787,"Liberal / Fundamentalismo adaptado","2005-2006"
"3","PT",0.0401390594498129,"Liberal / Fundamentalismo adaptado","2005-2006"
"4","PFL",0.352491753763594,"Liberal / Fundamentalismo adaptado","2005-2006"
"5","PFL",0.080761904166316,"Liberal / Fundamentalismo adaptado","2005-2006"
"6","PT",0.043395226570605,"Liberal / Fundamentalismo adaptado","2005-2006"
"7","PSDB",0.190413575295848,"Liberal / Fundamentalismo adaptado","2005-2006"
"8","PT",0.0693680154134874,"Liberal / Fundamentalismo adaptado","2005-2006"
"9","PT",0.243987599846563,"Liberal / Fundamentalismo adaptado","2005-2006"
"10","PSDB",0.185698657740463,"Liberal / Fundamentalismo adaptado","2005-2006"
"11","PT",0.473902966398969,"Liberal / Fundamentalismo adaptado","2005-2006"
"12","PT",0.257574962639716,"Liberal / Fundamentalismo adaptado","2005-2006"
"13","PMDB",0.535657748463274,"Liberal / Fundamentalismo adaptado","2005-2006"
"14","PT",0.0263777810236325,"Liberal / Fundamentalismo adaptado","2005-2006"
"15","PSDB",0.195038316115924,"Liberal / Fundamentalismo adaptado","2005-2006"
"16","PMDB",0.220019567661905,"Liberal / Fundamentalismo adaptado","2005-2006"
"17","PT",0.582041467562985,"Liberal / Fundamentalismo adaptado","2005-2006"
"18","PSDB",0.27303620233962,"Liberal / Fundamentalismo adaptado","2005-2006"
"19","PMDB",0.288497442039524,"Liberal / Fundamentalismo adaptado","2005-2006"
"20","PMDB",0.072400793182108,"Liberal / Fundamentalismo adaptado","2005-2006"
"21","PT",0.489274029363563,"Liberal / Fundamentalismo adaptado","2005-2006"
"22","PT",0.0878620328820116,"Liberal / Fundamentalismo adaptado","2005-2006"
"23","PT",0.549425464727045,"Liberal / Fundamentalismo adaptado","2005-2006"
"24","PT",0.0189599812482552,"Liberal / Fundamentalismo adaptado","2005-2006"
"25","PMDB",0.168645454989104,"Liberal / Fundamentalismo adaptado","2005-2006"
"26","PT",0.160818966579159,"Liberal / Fundamentalismo adaptado","2005-2006"
"27","PT",0.12065838918857,"Liberal / Fundamentalismo adaptado","2005-2006"
"28","PDT",0.160862002460713,"Liberal / Fundamentalismo adaptado","2005-2006"
"29","PT",0.198102746116729,"Liberal / Fundamentalismo adaptado","2005-2006"
"30","PT",0.137632798853988,"Liberal / Fundamentalismo adaptado","2005-2006"
"31","PT",0.0267864696582003,"Liberal / Fundamentalismo adaptado","2005-2006"
"32","PT",0.0326846616304722,"Liberal / Fundamentalismo adaptado","2005-2006"
"33","PT",0.407067614026264,"Liberal / Fundamentalismo adaptado","2005-2006"
"34","PT",0.436572046007644,"Liberal / Fundamentalismo adaptado","2005-2006"
"35","PT",0.137813152324606,"Liberal / Fundamentalismo adaptado","2005-2006"
"36","PT",0.00830383583904498,"Liberal / Fundamentalismo adaptado","2005-2006"
