"","partido","microGap","Dimensão","Período"
"79","PSDB",0.354353368336567,"Liberal / Fundamentalismo adaptado","2017-2018"
"80","PT",0.0500189350534596,"Liberal / Fundamentalismo adaptado","2017-2018"
"81","PT",0.248574655147002,"Liberal / Fundamentalismo adaptado","2017-2018"
"82","PT",0.0493480328967431,"Liberal / Fundamentalismo adaptado","2017-2018"
"83","PT",0.0954021261774726,"Liberal / Fundamentalismo adaptado","2017-2018"
"84","PT",0.3974647686586,"Liberal / Fundamentalismo adaptado","2017-2018"
"85","PSDB",0.184489813936563,"Liberal / Fundamentalismo adaptado","2017-2018"
"86","PT",0.354364005751038,"Liberal / Fundamentalismo adaptado","2017-2018"
"87","PSDB",0.352081577534587,"Liberal / Fundamentalismo adaptado","2017-2018"
"88","PT",0.0651654622228608,"Liberal / Fundamentalismo adaptado","2017-2018"
"89","PT",0.0130152390493291,"Liberal / Fundamentalismo adaptado","2017-2018"
"90","PT",0.130460789713159,"Liberal / Fundamentalismo adaptado","2017-2018"
"91","PT",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"92","PT",0.00450877401127875,"Liberal / Fundamentalismo adaptado","2017-2018"
"93","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"94","PT",0.157312175444345,"Liberal / Fundamentalismo adaptado","2017-2018"
"95","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"96","PT",0.0798481292985917,"Liberal / Fundamentalismo adaptado","2017-2018"
"97","PT",0.0952875544024775,"Liberal / Fundamentalismo adaptado","2017-2018"
"98","PT",0.209980707912078,"Liberal / Fundamentalismo adaptado","2017-2018"
"99","PSDB",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"100","PT",0.258318990137961,"Liberal / Fundamentalismo adaptado","2017-2018"
"101","PT",0.319167734882713,"Liberal / Fundamentalismo adaptado","2017-2018"
"102","PT",0.323838286404842,"Liberal / Fundamentalismo adaptado","2017-2018"
"103","PSOL",0.354364005751038,"Liberal / Fundamentalismo adaptado","2017-2018"
"104","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"105","PMDB",0.33910114607794,"Liberal / Fundamentalismo adaptado","2017-2018"
"106","PT",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"107","PT",0.278049707385548,"Liberal / Fundamentalismo adaptado","2017-2018"
"108","PSOL",0.382201908985502,"Liberal / Fundamentalismo adaptado","2017-2018"
"109","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"110","PT",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"111","PT",0.147830767328118,"Liberal / Fundamentalismo adaptado","2017-2018"
"112","PT",0.0354877160366742,"Liberal / Fundamentalismo adaptado","2017-2018"
"113","PT",0.0262953633120308,"Liberal / Fundamentalismo adaptado","2017-2018"
"114","PT",0.450653260796609,"Liberal / Fundamentalismo adaptado","2017-2018"
"115","PSDB",0.0588038180686233,"Liberal / Fundamentalismo adaptado","2017-2018"
"116","PT",0.00876330022365585,"Liberal / Fundamentalismo adaptado","2017-2018"
"117","PSOL",0.0652817947265577,"Liberal / Fundamentalismo adaptado","2017-2018"
"118","PT",0.0652817947265577,"Liberal / Fundamentalismo adaptado","2017-2018"
"119","PT",0.0224076983349093,"Liberal / Fundamentalismo adaptado","2017-2018"
"120","PT",0.216985043891981,"Liberal / Fundamentalismo adaptado","2017-2018"
"121","PT",0.247817391546342,"Liberal / Fundamentalismo adaptado","2017-2018"
"122","PT",0.128842328151315,"Liberal / Fundamentalismo adaptado","2017-2018"
"123","PT",0.26278684771245,"Liberal / Fundamentalismo adaptado","2017-2018"
"124","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"125","PT",0.489041926697188,"Liberal / Fundamentalismo adaptado","2017-2018"
"126","PT",0.371596376033358,"Liberal / Fundamentalismo adaptado","2017-2018"
"127","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"128","PT",0.378707233760489,"Liberal / Fundamentalismo adaptado","2017-2018"
"129","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"130","PMDB",0.378632015303521,"Liberal / Fundamentalismo adaptado","2017-2018"
"131","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"132","PSDB",0.0240261598967539,"Liberal / Fundamentalismo adaptado","2017-2018"
"133","PT",0.171817771516783,"Liberal / Fundamentalismo adaptado","2017-2018"
"134","PT",0.378632015303521,"Liberal / Fundamentalismo adaptado","2017-2018"
"135","PMDB",0.302228768107383,"Liberal / Fundamentalismo adaptado","2017-2018"
"136","PT",0.370373491610326,"Liberal / Fundamentalismo adaptado","2017-2018"
"137","PSOL",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"138","PSDB",0.278036482584373,"Liberal / Fundamentalismo adaptado","2017-2018"
"139","PT",0.143553205558097,"Liberal / Fundamentalismo adaptado","2017-2018"
"140","PSDB",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"141","PT",0.171034884971776,"Liberal / Fundamentalismo adaptado","2017-2018"
"142","PT",0.322867691442071,"Liberal / Fundamentalismo adaptado","2017-2018"
"143","PT",0.119173211617323,"Liberal / Fundamentalismo adaptado","2017-2018"
"144","PSDB",0.576820368589303,"Liberal / Fundamentalismo adaptado","2017-2018"
"145","PT",0.0508775456279402,"Liberal / Fundamentalismo adaptado","2017-2018"
"146","PT",0.20049929979585,"Liberal / Fundamentalismo adaptado","2017-2018"
"147","PT",0.233413142447724,"Liberal / Fundamentalismo adaptado","2017-2018"
"148","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"149","PT",0.217190325226325,"Liberal / Fundamentalismo adaptado","2017-2018"
"150","PT",0.302986031708044,"Liberal / Fundamentalismo adaptado","2017-2018"
"151","PT",0.395482033248203,"Liberal / Fundamentalismo adaptado","2017-2018"
"152","PSDB",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"153","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"154","PT",0.0991884441807737,"Liberal / Fundamentalismo adaptado","2017-2018"
"155","PT",0.0363719495555023,"Liberal / Fundamentalismo adaptado","2017-2018"
"156","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"157","PT",0.11795032719429,"Liberal / Fundamentalismo adaptado","2017-2018"
"158","PSDB",0.294059193244835,"Liberal / Fundamentalismo adaptado","2017-2018"
"159","PT",0.400040600382041,"Liberal / Fundamentalismo adaptado","2017-2018"
"160","PSOL",0.278252401333189,"Liberal / Fundamentalismo adaptado","2017-2018"
"161","PSOL",0.378632015303521,"Liberal / Fundamentalismo adaptado","2017-2018"
"162","PT",0.399181989807561,"Liberal / Fundamentalismo adaptado","2017-2018"
"163","PT",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"164","PT",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"165","PT",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"166","PT",0.174630907170609,"Liberal / Fundamentalismo adaptado","2017-2018"
"167","PT",0.567338960473075,"Liberal / Fundamentalismo adaptado","2017-2018"
"168","PSDB",0.555776057359334,"Liberal / Fundamentalismo adaptado","2017-2018"
"169","PT",0.159368047497511,"Liberal / Fundamentalismo adaptado","2017-2018"
"170","PT",0.0436423053693455,"Liberal / Fundamentalismo adaptado","2017-2018"
"171","PT",0.412727628331698,"Liberal / Fundamentalismo adaptado","2017-2018"
"172","PT",0.0951109889716898,"Liberal / Fundamentalismo adaptado","2017-2018"
"173","PSOL",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"174","PSDB",0.15633899309487,"Liberal / Fundamentalismo adaptado","2017-2018"
"175","PT",0.186459324545785,"Liberal / Fundamentalismo adaptado","2017-2018"
"176","PT",0.271791997591835,"Liberal / Fundamentalismo adaptado","2017-2018"
"177","PT",0.325443523165512,"Liberal / Fundamentalismo adaptado","2017-2018"
"178","PT",0.262773622911275,"Liberal / Fundamentalismo adaptado","2017-2018"
"179","PSOL",0.139853248998739,"Liberal / Fundamentalismo adaptado","2017-2018"
"180","PT",0.0652817947265577,"Liberal / Fundamentalismo adaptado","2017-2018"
"181","PT",0.0349331463836546,"Liberal / Fundamentalismo adaptado","2017-2018"
"182","PT",0.262773622911275,"Liberal / Fundamentalismo adaptado","2017-2018"
"183","PT",0.157098844082234,"Liberal / Fundamentalismo adaptado","2017-2018"
"184","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"185","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"186","PSOL",0.0187209665767266,"Liberal / Fundamentalismo adaptado","2017-2018"
"187","PT",0.286295006277569,"Liberal / Fundamentalismo adaptado","2017-2018"
