"","partido","microGap","Dimensão","Período"
"1","PSDB",0.117676899955624,"Liberal / Fundamentalismo adaptado","2014-2014"
"2","PT",0.149252955423286,"Liberal / Fundamentalismo adaptado","2014-2014"
"3","PSDB",0.184826594949666,"Liberal / Fundamentalismo adaptado","2014-2014"
"4","PSB",0.0440251479819956,"Liberal / Fundamentalismo adaptado","2014-2014"
"5","PSB",0.107780166479214,"Liberal / Fundamentalismo adaptado","2014-2014"
"6","PT",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"7","PSDB",0.169471403420719,"Liberal / Fundamentalismo adaptado","2014-2014"
"8","PMDB",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"9","PMDB",0.0939715863082048,"Liberal / Fundamentalismo adaptado","2014-2014"
"10","PT",0.162460180586052,"Liberal / Fundamentalismo adaptado","2014-2014"
"11","PT",0.144571367473546,"Liberal / Fundamentalismo adaptado","2014-2014"
"12","PT",0.165113240913796,"Liberal / Fundamentalismo adaptado","2014-2014"
"13","PT",0.1276971606957,"Liberal / Fundamentalismo adaptado","2014-2014"
"14","PT",0.160825980945491,"Liberal / Fundamentalismo adaptado","2014-2014"
"15","PT",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"16","PT",0.285172916262065,"Liberal / Fundamentalismo adaptado","2014-2014"
"17","PT",0.200213653566138,"Liberal / Fundamentalismo adaptado","2014-2014"
"18","PT",0.181367854385741,"Liberal / Fundamentalismo adaptado","2014-2014"
"19","PMDB",0.0418620002722968,"Liberal / Fundamentalismo adaptado","2014-2014"
"20","PT",0.106817894493461,"Liberal / Fundamentalismo adaptado","2014-2014"
"21","PSDB",0.087627335102536,"Liberal / Fundamentalismo adaptado","2014-2014"
"22","PSDB",0.175750038005633,"Liberal / Fundamentalismo adaptado","2014-2014"
"23","PT",0.366346270949786,"Liberal / Fundamentalismo adaptado","2014-2014"
"24","PT",0.285711421227552,"Liberal / Fundamentalismo adaptado","2014-2014"
"25","PT",0.366346270949786,"Liberal / Fundamentalismo adaptado","2014-2014"
"26","PDT",0.379919013960603,"Liberal / Fundamentalismo adaptado","2014-2014"
"27","PT",0.0261078712541217,"Liberal / Fundamentalismo adaptado","2014-2014"
"28","PSDB",0.196291911445883,"Liberal / Fundamentalismo adaptado","2014-2014"
"29","PSB",0.33223165449872,"Liberal / Fundamentalismo adaptado","2014-2014"
"30","PSDB",0.332384859402099,"Liberal / Fundamentalismo adaptado","2014-2014"
"31","PSDB",0.427606373422486,"Liberal / Fundamentalismo adaptado","2014-2014"
"32","PMDB",0.20898041385722,"Liberal / Fundamentalismo adaptado","2014-2014"
"33","PMDB",0.278093887358832,"Liberal / Fundamentalismo adaptado","2014-2014"
"34","PT",0.0869789316632498,"Liberal / Fundamentalismo adaptado","2014-2014"
"35","PSDB",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"36","PT",0.282007286607085,"Liberal / Fundamentalismo adaptado","2014-2014"
"37","PMDB",0.024375858013228,"Liberal / Fundamentalismo adaptado","2014-2014"
"38","PMDB",0.030021270502374,"Liberal / Fundamentalismo adaptado","2014-2014"
"39","PT",0.195926393597833,"Liberal / Fundamentalismo adaptado","2014-2014"
"40","PMDB",0.400979610152282,"Liberal / Fundamentalismo adaptado","2014-2014"
"41","PSDB",0.39349175697142,"Liberal / Fundamentalismo adaptado","2014-2014"
"42","PT",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"43","PT",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"44","PT",0.0144067175977125,"Liberal / Fundamentalismo adaptado","2014-2014"
"45","PSDB",0.340194924001432,"Liberal / Fundamentalismo adaptado","2014-2014"
"46","PT",0.317307597438578,"Liberal / Fundamentalismo adaptado","2014-2014"
"47","PSDB",0.434575503851919,"Liberal / Fundamentalismo adaptado","2014-2014"
"48","PMDB",0.000149632166568214,"Liberal / Fundamentalismo adaptado","2014-2014"
"49","PT",0.0332806418641707,"Liberal / Fundamentalismo adaptado","2014-2014"
"50","PSDB",0.270614377049973,"Liberal / Fundamentalismo adaptado","2014-2014"
"51","PT",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"52","PT",0.366346270949786,"Liberal / Fundamentalismo adaptado","2014-2014"
"53","PSDB",0.319177634239332,"Liberal / Fundamentalismo adaptado","2014-2014"
"54","PT",0.455117377292169,"Liberal / Fundamentalismo adaptado","2014-2014"
"55","PT",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"56","PT",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"57","PT",0.332750377250149,"Liberal / Fundamentalismo adaptado","2014-2014"
"58","PT",0.0948979193129171,"Liberal / Fundamentalismo adaptado","2014-2014"
"59","PMDB",0.0728750511354847,"Liberal / Fundamentalismo adaptado","2014-2014"
"60","PT",0.140759523827091,"Liberal / Fundamentalismo adaptado","2014-2014"
"61","PSDB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"62","PSDB",0.468324602454936,"Liberal / Fundamentalismo adaptado","2014-2014"
"63","PMDB",0.414552353163098,"Liberal / Fundamentalismo adaptado","2014-2014"
"64","PT",0.0418620002722968,"Liberal / Fundamentalismo adaptado","2014-2014"
"65","PT",0.0940777427805402,"Liberal / Fundamentalismo adaptado","2014-2014"
"66","PSDB",0.488866475895186,"Liberal / Fundamentalismo adaptado","2014-2014"
"67","PT",0.550492096215935,"Liberal / Fundamentalismo adaptado","2014-2014"
"68","PMDB",0.0943371041562548,"Liberal / Fundamentalismo adaptado","2014-2014"
"69","PSDB",0.00481143790225019,"Liberal / Fundamentalismo adaptado","2014-2014"
"70","PMDB",0.0489608113895874,"Liberal / Fundamentalismo adaptado","2014-2014"
"71","PSDB",0.165113240913796,"Liberal / Fundamentalismo adaptado","2014-2014"
"72","PMDB",0.181367854385741,"Liberal / Fundamentalismo adaptado","2014-2014"
"73","PT",0.264002421596587,"Liberal / Fundamentalismo adaptado","2014-2014"
"74","PMDB",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"75","PT",0.161941457834623,"Liberal / Fundamentalismo adaptado","2014-2014"
"76","PMDB",0.341015100533809,"Liberal / Fundamentalismo adaptado","2014-2014"
"77","PT",0.22952228729747,"Liberal / Fundamentalismo adaptado","2014-2014"
"78","PSB",0.0764718152592705,"Liberal / Fundamentalismo adaptado","2014-2014"
"79","PSB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"80","PT",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"81","PT",0.196445116349262,"Liberal / Fundamentalismo adaptado","2014-2014"
"82","PT",0.550492096215935,"Liberal / Fundamentalismo adaptado","2014-2014"
"83","PT",0.0253533113425001,"Liberal / Fundamentalismo adaptado","2014-2014"
"84","PT",0.133680494923858,"Liberal / Fundamentalismo adaptado","2014-2014"
"85","PT",0.278093887358832,"Liberal / Fundamentalismo adaptado","2014-2014"
"86","PSDB",0.141635421554566,"Liberal / Fundamentalismo adaptado","2014-2014"
"87","PSB",0.455636100043598,"Liberal / Fundamentalismo adaptado","2014-2014"
"88","PSB",0.331549501526204,"Liberal / Fundamentalismo adaptado","2014-2014"
"89","PSB",0.0339627948366869,"Liberal / Fundamentalismo adaptado","2014-2014"
"90","PT",0.455117377292169,"Liberal / Fundamentalismo adaptado","2014-2014"
"91","PT",0.195407670846404,"Liberal / Fundamentalismo adaptado","2014-2014"
"92","PT",0.318658911487903,"Liberal / Fundamentalismo adaptado","2014-2014"
"93","PT",0.161682096458909,"Liberal / Fundamentalismo adaptado","2014-2014"
"94","PMDB",0.152647631920109,"Liberal / Fundamentalismo adaptado","2014-2014"
"95","PSB",0.214532613616573,"Liberal / Fundamentalismo adaptado","2014-2014"
"96","PMDB",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"97","PT",0.161293054395337,"Liberal / Fundamentalismo adaptado","2014-2014"
"98","PSDB",0.108169208542786,"Liberal / Fundamentalismo adaptado","2014-2014"
"99","PSB",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"100","PMDB",0.33223165449872,"Liberal / Fundamentalismo adaptado","2014-2014"
"101","PT",0.264002421596587,"Liberal / Fundamentalismo adaptado","2014-2014"
"102","PDT",0.0992003606247411,"Liberal / Fundamentalismo adaptado","2014-2014"
"103","PT",0.0418620002722968,"Liberal / Fundamentalismo adaptado","2014-2014"
"104","PDT",0.537049033892976,"Liberal / Fundamentalismo adaptado","2014-2014"
"105","PT",0.0467794253822289,"Liberal / Fundamentalismo adaptado","2014-2014"
"106","PSDB",0.171536737530086,"Liberal / Fundamentalismo adaptado","2014-2014"
"107","PT",0.421002760841103,"Liberal / Fundamentalismo adaptado","2014-2014"
"108","PT",0.317307597438578,"Liberal / Fundamentalismo adaptado","2014-2014"
"109","PMDB",0.0440251479819956,"Liberal / Fundamentalismo adaptado","2014-2014"
"110","PMDB",0.468324602454936,"Liberal / Fundamentalismo adaptado","2014-2014"
"111","PSDB",0.400849929464424,"Liberal / Fundamentalismo adaptado","2014-2014"
"112","PT",0.337849470878828,"Liberal / Fundamentalismo adaptado","2014-2014"
"113","PDT",0.201909727825991,"Liberal / Fundamentalismo adaptado","2014-2014"
"114","PT",0.195926393597833,"Liberal / Fundamentalismo adaptado","2014-2014"
"115","PT",0.180742975161976,"Liberal / Fundamentalismo adaptado","2014-2014"
"116","PMDB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"117","PDT",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"118","PT",0.141765102242424,"Liberal / Fundamentalismo adaptado","2014-2014"
"119","PT",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"120","PT",0.0632797714400223,"Liberal / Fundamentalismo adaptado","2014-2014"
"121","PT",0.113865056309168,"Liberal / Fundamentalismo adaptado","2014-2014"
"122","PT",0.284544295036837,"Liberal / Fundamentalismo adaptado","2014-2014"
"123","PT",0.0213201268320469,"Liberal / Fundamentalismo adaptado","2014-2014"
"124","PT",0.128623493700412,"Liberal / Fundamentalismo adaptado","2014-2014"
"125","PDT",0.161293054395337,"Liberal / Fundamentalismo adaptado","2014-2014"
"126","PT",0.161293054395337,"Liberal / Fundamentalismo adaptado","2014-2014"
"127","PSB",0.140751180955087,"Liberal / Fundamentalismo adaptado","2014-2014"
"128","PT",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"129","PT",0.135787921438458,"Liberal / Fundamentalismo adaptado","2014-2014"
"130","PDT",0.175384520157583,"Liberal / Fundamentalismo adaptado","2014-2014"
"131","PDT",0.0737952307160049,"Liberal / Fundamentalismo adaptado","2014-2014"
"132","PMDB",0.31168978105847,"Liberal / Fundamentalismo adaptado","2014-2014"
"133","PMDB",0.447782729014686,"Liberal / Fundamentalismo adaptado","2014-2014"
"134","PMDB",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"135","PMDB",0.434209986003869,"Liberal / Fundamentalismo adaptado","2014-2014"
"136","PDT",0.550492096215935,"Liberal / Fundamentalismo adaptado","2014-2014"
"137","PT",0.1075208051035,"Liberal / Fundamentalismo adaptado","2014-2014"
"138","PT",0.264002421596587,"Liberal / Fundamentalismo adaptado","2014-2014"
"139","PT",0.154948803189668,"Liberal / Fundamentalismo adaptado","2014-2014"
"140","PDT",0.550492096215935,"Liberal / Fundamentalismo adaptado","2014-2014"
"141","PT",0.305714789702315,"Liberal / Fundamentalismo adaptado","2014-2014"
"142","PSB",0.00582535918958632,"Liberal / Fundamentalismo adaptado","2014-2014"
"143","PT",0.243460548156337,"Liberal / Fundamentalismo adaptado","2014-2014"
"144","PSDB",0.282381147327138,"Liberal / Fundamentalismo adaptado","2014-2014"
"145","PT",0.379107180300229,"Liberal / Fundamentalismo adaptado","2014-2014"
"146","PT",0.291796311057506,"Liberal / Fundamentalismo adaptado","2014-2014"
"147","PSDB",0.264521144348016,"Liberal / Fundamentalismo adaptado","2014-2014"
"148","PT",0.408424156903565,"Liberal / Fundamentalismo adaptado","2014-2014"
"149","PT",0.307030164770599,"Liberal / Fundamentalismo adaptado","2014-2014"
"150","PT",0.319177634239332,"Liberal / Fundamentalismo adaptado","2014-2014"
"151","PSDB",0.0581166137442412,"Liberal / Fundamentalismo adaptado","2014-2014"
"152","PSDB",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"153","PT",0.12806267854375,"Liberal / Fundamentalismo adaptado","2014-2014"
"154","PT",0.263766584436394,"Liberal / Fundamentalismo adaptado","2014-2014"
"155","PT",0.5622588664931,"Liberal / Fundamentalismo adaptado","2014-2014"
"156","PT",0.00787706450908754,"Liberal / Fundamentalismo adaptado","2014-2014"
"157","PT",0.494029633590967,"Liberal / Fundamentalismo adaptado","2014-2014"
"158","PT",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"159","PSDB",0.261960611702742,"Liberal / Fundamentalismo adaptado","2014-2014"
"160","PT",0.40128106393323,"Liberal / Fundamentalismo adaptado","2014-2014"
"161","PSDB",0.0395509335770811,"Liberal / Fundamentalismo adaptado","2014-2014"
"162","PSDB",0.408424156903565,"Liberal / Fundamentalismo adaptado","2014-2014"
"163","PSDB",0.291156250490223,"Liberal / Fundamentalismo adaptado","2014-2014"
"164","PMDB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"165","PSDB",0.0763421345714133,"Liberal / Fundamentalismo adaptado","2014-2014"
"166","PSB",0.111808065071805,"Liberal / Fundamentalismo adaptado","2014-2014"
"167","PSDB",0.439007625851601,"Liberal / Fundamentalismo adaptado","2014-2014"
"168","PT",0.502804736754052,"Liberal / Fundamentalismo adaptado","2014-2014"
"169","PMDB",0.141918307145803,"Liberal / Fundamentalismo adaptado","2014-2014"
"170","PT",0.529950222775686,"Liberal / Fundamentalismo adaptado","2014-2014"
"171","PSDB",0.33186613665067,"Liberal / Fundamentalismo adaptado","2014-2014"
"172","PDT",0.0206915056068182,"Liberal / Fundamentalismo adaptado","2014-2014"
"173","PMDB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"174","PMDB",0.214598230237328,"Liberal / Fundamentalismo adaptado","2014-2014"
"175","PSDB",0.0526132967084721,"Liberal / Fundamentalismo adaptado","2014-2014"
"176","PDT",0.190833453393346,"Liberal / Fundamentalismo adaptado","2014-2014"
"177","PDT",0.196982407290402,"Liberal / Fundamentalismo adaptado","2014-2014"
"178","PSDB",0.1075208051035,"Liberal / Fundamentalismo adaptado","2014-2014"
"179","PT",0.264002421596587,"Liberal / Fundamentalismo adaptado","2014-2014"
"180","PT",0.148604551983999,"Liberal / Fundamentalismo adaptado","2014-2014"
"181","PMDB",0.285192698476123,"Liberal / Fundamentalismo adaptado","2014-2014"
"182","PT",0.141505740866709,"Liberal / Fundamentalismo adaptado","2014-2014"
"183","PMDB",0.369102100903673,"Liberal / Fundamentalismo adaptado","2014-2014"
"184","PSDB",0.408424156903565,"Liberal / Fundamentalismo adaptado","2014-2014"
"185","PMDB",0.284544295036837,"Liberal / Fundamentalismo adaptado","2014-2014"
"186","PMDB",0.455117377292169,"Liberal / Fundamentalismo adaptado","2014-2014"
"187","PT",0.350731718045125,"Liberal / Fundamentalismo adaptado","2014-2014"
"188","PMDB",0.278093887358832,"Liberal / Fundamentalismo adaptado","2014-2014"
"189","PMDB",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"190","PT",0.162047614306959,"Liberal / Fundamentalismo adaptado","2014-2014"
"191","PMDB",0.0624038737125467,"Liberal / Fundamentalismo adaptado","2014-2014"
"192","PT",0.072910990116526,"Liberal / Fundamentalismo adaptado","2014-2014"
"193","PT",0.298635760799082,"Liberal / Fundamentalismo adaptado","2014-2014"
"194","PT",0.182589487747209,"Liberal / Fundamentalismo adaptado","2014-2014"
"195","PT",0.149252955423286,"Liberal / Fundamentalismo adaptado","2014-2014"
"196","PMDB",0.00863162442070919,"Liberal / Fundamentalismo adaptado","2014-2014"
"197","PT",0.250689039961485,"Liberal / Fundamentalismo adaptado","2014-2014"
"198","PT",0.414033630411669,"Liberal / Fundamentalismo adaptado","2014-2014"
"199","PT",0.175750038005633,"Liberal / Fundamentalismo adaptado","2014-2014"
"200","PT",0.208298260884704,"Liberal / Fundamentalismo adaptado","2014-2014"
"201","PT",0.35277352793897,"Liberal / Fundamentalismo adaptado","2014-2014"
"202","PT",0.165113240913796,"Liberal / Fundamentalismo adaptado","2014-2014"
"203","PT",0.284544295036837,"Liberal / Fundamentalismo adaptado","2014-2014"
"204","PSB",0.284544295036837,"Liberal / Fundamentalismo adaptado","2014-2014"
"205","PMDB",0.523346610194302,"Liberal / Fundamentalismo adaptado","2014-2014"
"206","PMDB",0.108169208542786,"Liberal / Fundamentalismo adaptado","2014-2014"
"207","PT",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"208","PT",0.305714789702315,"Liberal / Fundamentalismo adaptado","2014-2014"
"209","PT",0.0213201268320469,"Liberal / Fundamentalismo adaptado","2014-2014"
"210","PDT",0.319436995615047,"Liberal / Fundamentalismo adaptado","2014-2014"
"211","PT",0.129812930082303,"Liberal / Fundamentalismo adaptado","2014-2014"
"212","PT",0.265169547787302,"Liberal / Fundamentalismo adaptado","2014-2014"
"213","PT",0.455117377292169,"Liberal / Fundamentalismo adaptado","2014-2014"
"214","PT",0.11045675102248,"Liberal / Fundamentalismo adaptado","2014-2014"
"215","PT",0.50293441744191,"Liberal / Fundamentalismo adaptado","2014-2014"
"216","PMDB",0.0602224877051883,"Liberal / Fundamentalismo adaptado","2014-2014"
"217","PT",0.435094226603348,"Liberal / Fundamentalismo adaptado","2014-2014"
"218","PT",0.115138338972219,"Liberal / Fundamentalismo adaptado","2014-2014"
"219","PT",0.571033969656185,"Liberal / Fundamentalismo adaptado","2014-2014"
"220","PSDB",0.161293054395337,"Liberal / Fundamentalismo adaptado","2014-2014"
"221","PT",0.0877991081956266,"Liberal / Fundamentalismo adaptado","2014-2014"
"222","PT",0.550492096215935,"Liberal / Fundamentalismo adaptado","2014-2014"
"223","PT",0.285063017788266,"Liberal / Fundamentalismo adaptado","2014-2014"
"224","PT",0.00863162442070919,"Liberal / Fundamentalismo adaptado","2014-2014"
"225","PT",0.284544295036837,"Liberal / Fundamentalismo adaptado","2014-2014"
"226","PT",0.162306975682673,"Liberal / Fundamentalismo adaptado","2014-2014"
"227","PMDB",0.0261078712541217,"Liberal / Fundamentalismo adaptado","2014-2014"
"228","PT",0.370332077137144,"Liberal / Fundamentalismo adaptado","2014-2014"
"229","PSDB",0.148604551983999,"Liberal / Fundamentalismo adaptado","2014-2014"
"230","PT",0.175384520157583,"Liberal / Fundamentalismo adaptado","2014-2014"
"231","PMDB",0.0764718152592705,"Liberal / Fundamentalismo adaptado","2014-2014"
"232","PMDB",0.591575843096435,"Liberal / Fundamentalismo adaptado","2014-2014"
"233","PMDB",0.110586431710337,"Liberal / Fundamentalismo adaptado","2014-2014"
